HOIP entry ID,Label,"Bandgap, GGA (eV)","Dielectric constant, electronic","Dielectric constant, ionic","Dielectric constant, total",Refractive index,Atomization energy (eV/atom),Relative energy1 (eV/atom),Relative energy2 (eV/atom),Volume of the unit cell (A^3),Density (g/cm^3),Tolerance factor,Octahedral factor,rA(Ang),rB(Ang),rX(Ang),a,b,c,alpha,beta,gamma,A SITE DFE,B SITE DFE,X SITE DFE,Ge,Sn,Pb,F,Cl,Br,gamma,pos_0_[/-Ring1],pos_0_[/NH1+1],pos_0_[=Branch1],pos_0_[=C],pos_0_[=NH2+1],pos_0_[Branch1],pos_0_[C],pos_0_[N+1],pos_0_[NH1+1],pos_0_[NH2+1],pos_0_[NH3+1],pos_0_[N],pos_0_[O],pos_0_[Ring1],pos_0_[Ring2],pos_0_[\N],pos_0_[nop],pos_1_[/-Ring1],pos_1_[/NH1+1],pos_1_[=Branch1],pos_1_[=C],pos_1_[=NH2+1],pos_1_[Branch1],pos_1_[C],pos_1_[N+1],pos_1_[NH1+1],pos_1_[NH2+1],pos_1_[NH3+1],pos_1_[N],pos_1_[O],pos_1_[Ring1],pos_1_[Ring2],pos_1_[\N],pos_1_[nop],pos_2_[/-Ring1],pos_2_[/NH1+1],pos_2_[=Branch1],pos_2_[=C],pos_2_[=NH2+1],pos_2_[Branch1],pos_2_[C],pos_2_[N+1],pos_2_[NH1+1],pos_2_[NH2+1],pos_2_[NH3+1],pos_2_[N],pos_2_[O],pos_2_[Ring1],pos_2_[Ring2],pos_2_[\N],pos_2_[nop],pos_3_[/-Ring1],pos_3_[/NH1+1],pos_3_[=Branch1],pos_3_[=C],pos_3_[=NH2+1],pos_3_[Branch1],pos_3_[C],pos_3_[N+1],pos_3_[NH1+1],pos_3_[NH2+1],pos_3_[NH3+1],pos_3_[N],pos_3_[O],pos_3_[Ring1],pos_3_[Ring2],pos_3_[\N],pos_3_[nop],pos_4_[/-Ring1],pos_4_[/NH1+1],pos_4_[=Branch1],pos_4_[=C],pos_4_[=NH2+1],pos_4_[Branch1],pos_4_[C],pos_4_[N+1],pos_4_[NH1+1],pos_4_[NH2+1],pos_4_[NH3+1],pos_4_[N],pos_4_[O],pos_4_[Ring1],pos_4_[Ring2],pos_4_[\N],pos_4_[nop],pos_5_[/-Ring1],pos_5_[/NH1+1],pos_5_[=Branch1],pos_5_[=C],pos_5_[=NH2+1],pos_5_[Branch1],pos_5_[C],pos_5_[N+1],pos_5_[NH1+1],pos_5_[NH2+1],pos_5_[NH3+1],pos_5_[N],pos_5_[O],pos_5_[Ring1],pos_5_[Ring2],pos_5_[\N],pos_5_[nop],pos_6_[/-Ring1],pos_6_[/NH1+1],pos_6_[=Branch1],pos_6_[=C],pos_6_[=NH2+1],pos_6_[Branch1],pos_6_[C],pos_6_[N+1],pos_6_[NH1+1],pos_6_[NH2+1],pos_6_[NH3+1],pos_6_[N],pos_6_[O],pos_6_[Ring1],pos_6_[Ring2],pos_6_[\N],pos_6_[nop],pos_7_[/-Ring1],pos_7_[/NH1+1],pos_7_[=Branch1],pos_7_[=C],pos_7_[=NH2+1],pos_7_[Branch1],pos_7_[C],pos_7_[N+1],pos_7_[NH1+1],pos_7_[NH2+1],pos_7_[NH3+1],pos_7_[N],pos_7_[O],pos_7_[Ring1],pos_7_[Ring2],pos_7_[\N],pos_7_[nop],pos_8_[/-Ring1],pos_8_[/NH1+1],pos_8_[=Branch1],pos_8_[=C],pos_8_[=NH2+1],pos_8_[Branch1],pos_8_[C],pos_8_[N+1],pos_8_[NH1+1],pos_8_[NH2+1],pos_8_[NH3+1],pos_8_[N],pos_8_[O],pos_8_[Ring1],pos_8_[Ring2],pos_8_[\N],pos_8_[nop]
1,Ethylammonium Germanium Fluoride,4.7308,2.7968,2.6005,5.3973,1.6724,-4.7512,-0.2279,0.3767,113.76,2.5647,1.412,0.549,2.783,0.73,1.33,4.75327205649,4.96701249034,5.10069400556,73.7278505823,94.1794172842,100.125980698,0.277429,8.237806,6.151597,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Ethylammonium Germanium Fluoride,4.1048,2.8753,2.7377,5.613,1.6957,-4.7495,-0.2262,0.3784,113.87,2.5622,1.412,0.549,2.783,0.73,1.33,5.14908209966,4.65174556999,5.15492200371,80.5176233861,70.2206829864,80.7926386196,0.3394527,8.095644,6.161533,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,Ethylammonium Germanium Fluoride,4.5915,2.7387,3.3725,6.1112,1.6549,-4.7382,-0.2149,0.3897,118.14,2.4696,1.412,2.783,2.783,0.73,1.33,4.27142996019,3.7589415834,7.49001455369,93.8057338014,97.6764935709,95.9633120463,0.418105,7.72004,6.28154,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,Ethylammonium Germanium Fluoride,4.6666,2.7315,2.5727,5.3041,1.6527,-4.7509,-0.2276,0.377,117.07,2.4922,1.412,0.549,2.783,0.73,1.33,4.67795629958,3.64099826929,7.93998005883,65.0256599809,104.652997989,104.321985077,0.378233,8.106976,6.211992,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,Ethylammonium Germanium Fluoride,4.6595,2.7502,2.2136,4.9637,1.6584,-4.7332,-0.2099,0.3947,116.03,2.5145,1.412,0.549,2.783,0.73,1.33,6.8909561669,3.82887500908,5.16145399801,115.91657242,74.1434833251,105.65114519,0.428871,9.13006,5.877419,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,Ethylammonium Germanium Fluoride,4.664,2.7323,3.1944,5.9267,1.653,-4.743,-0.2197,0.3849,117.1,2.4915,1.412,0.549,2.783,0.73,1.33,4.79012378643,3.58040173685,7.70205696483,107.565592285,78.2958618439,110.719872971,0.336709,8.36107,6.116051,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,Ethylammonium Germanium Fluoride,4.6879,2.765,3.0257,5.7907,1.6628,-4.7391,-0.2159,0.3887,115.37,2.5289,1.412,0.549,2.783,0.73,1.33,4.68746300519,3.63526529344,7.34397904481,92.0150055716,81.8140655162,69.29006077,0.2880637,8.552524,5.960347,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,Ethylammonium Germanium Fluoride,4.5073,2.7876,14.5954,17.383,1.6696,-4.7287,-0.2055,0.3991,116.33,2.508,1.412,0.549,2.783,0.73,1.33,7.45693103151,3.82132121041,4.08447825814,88.725274605,89.2703916862,89.0276047494,0.3664754,7.435893,6.116021,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Ethylammonium Germanium Fluoride,4.4324,2.631,2.3088,4.9398,1.622,-4.7298,-0.2065,0.3981,120.86,2.414,1.412,0.549,2.783,0.73,1.33,6.70960013794,4.28390495174,4.74642929797,112.994561377,105.671746747,82.403896249,0.319021,9.367917,6.121607,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98,Ethylammonium Germanium Chloride,2.8063,3.2264,3.4337,6.6601,1.7962,-4.395,0.0882,0.281,191.38,1.9528,1.267,0.403,2.741,0.73,1.81,5.70777866916,5.6924646398,6.05549611143,79.1353782185,89.518398641,97.6754983243,0.397469,7.975316,6.216357,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
