group1,group2,meandiff,p-adj,lower,upper,reject
Acetamidinium,Ammonium,1.0013,-0.0,0.7984,1.2042,True
Acetamidinium,Azetidinium,-0.265,0.0,-0.4053,-0.1247,True
Acetamidinium,Butylammonium,-0.0386,1.0,-0.235,0.1577,False
Acetamidinium,Dimethylammonium,-0.1059,0.6313,-0.2647,0.0529,False
Acetamidinium,Ethylammonium,0.2174,0.0001,0.0699,0.3648,True
Acetamidinium,Formamidinium,0.0578,0.9999,-0.1476,0.2632,False
Acetamidinium,Guanidinium,0.093,0.9782,-0.115,0.301,False
Acetamidinium,Hydrazinium,0.5777,-0.0,0.4283,0.7271,True
Acetamidinium,Hydroxylammonium,0.5504,-0.0,0.3876,0.7132,True
Acetamidinium,Imidazolium,-0.3153,0.0,-0.4763,-0.1543,True
Acetamidinium,Isopropylammonium,0.1397,0.1207,-0.0134,0.2928,False
Acetamidinium,Methylammonium,0.3674,0.0,0.1973,0.5375,True
Acetamidinium,Propylammonium,0.0783,0.8921,-0.0661,0.2226,False
Acetamidinium,Tetramethylammonium,-0.4322,0.0,-0.643,-0.2214,True
Acetamidinium,Trimethylammonium,-0.3179,0.0,-0.4679,-0.168,True
Ammonium,Azetidinium,-1.2663,-0.0,-1.4472,-1.0853,True
Ammonium,Butylammonium,-1.0399,-0.0,-1.2671,-0.8127,True
Ammonium,Dimethylammonium,-1.1072,-0.0,-1.3028,-0.9115,True
Ammonium,Ethylammonium,-0.7839,-0.0,-0.9704,-0.5974,True
Ammonium,Formamidinium,-0.9434,-0.0,-1.1785,-0.7084,True
Ammonium,Guanidinium,-0.9083,-0.0,-1.1456,-0.671,True
Ammonium,Hydrazinium,-0.4236,0.0,-0.6116,-0.2355,True
Ammonium,Hydroxylammonium,-0.4509,0.0,-0.6498,-0.252,True
Ammonium,Imidazolium,-1.3166,-0.0,-1.514,-1.1192,True
Ammonium,Isopropylammonium,-0.8616,-0.0,-1.0526,-0.6706,True
Ammonium,Methylammonium,-0.6339,-0.0,-0.8388,-0.4289,True
Ammonium,Propylammonium,-0.923,-0.0,-1.1071,-0.7389,True
Ammonium,Tetramethylammonium,-1.4335,-0.0,-1.6732,-1.1937,True
Ammonium,Trimethylammonium,-1.3192,-0.0,-1.5078,-1.1307,True
Azetidinium,Butylammonium,0.2264,0.0009,0.0528,0.3999,True
Azetidinium,Dimethylammonium,0.1591,0.0028,0.0295,0.2887,True
Azetidinium,Ethylammonium,0.4824,-0.0,0.3671,0.5976,True
Azetidinium,Formamidinium,0.3228,0.0,0.1391,0.5065,True
Azetidinium,Guanidinium,0.358,0.0,0.1714,0.5446,True
Azetidinium,Hydrazinium,0.8427,-0.0,0.7249,0.9605,True
Azetidinium,Hydroxylammonium,0.8154,-0.0,0.6809,0.9498,True
Azetidinium,Imidazolium,-0.0503,0.9956,-0.1826,0.0819,False
Azetidinium,Isopropylammonium,0.4047,-0.0,0.2822,0.5271,True
Azetidinium,Methylammonium,0.6324,-0.0,0.4892,0.7756,True
Azetidinium,Propylammonium,0.3433,-0.0,0.2319,0.4546,True
Azetidinium,Tetramethylammonium,-0.1672,0.1595,-0.3569,0.0225,False
Azetidinium,Trimethylammonium,-0.053,0.9784,-0.1715,0.0656,False
Butylammonium,Dimethylammonium,-0.0673,0.9979,-0.2561,0.1216,False
Butylammonium,Ethylammonium,0.256,0.0001,0.0766,0.4353,True
Butylammonium,Formamidinium,0.0964,0.9879,-0.1329,0.3258,False
Butylammonium,Guanidinium,0.1316,0.8513,-0.1001,0.3633,False
Butylammonium,Hydrazinium,0.6163,-0.0,0.4354,0.7973,True
Butylammonium,Hydroxylammonium,0.589,-0.0,0.3968,0.7812,True
Butylammonium,Imidazolium,-0.2767,0.0001,-0.4674,-0.086,True
Butylammonium,Isopropylammonium,0.1783,0.0695,-0.0057,0.3623,False
Butylammonium,Methylammonium,0.406,0.0,0.2076,0.6045,True
Butylammonium,Propylammonium,0.1169,0.6458,-0.0599,0.2937,False
Butylammonium,Tetramethylammonium,-0.3936,0.0,-0.6278,-0.1594,True
Butylammonium,Trimethylammonium,-0.2793,0.0,-0.4608,-0.0979,True
Dimethylammonium,Ethylammonium,0.3233,0.0,0.186,0.4605,True
Dimethylammonium,Formamidinium,0.1637,0.2496,-0.0345,0.3619,False
Dimethylammonium,Guanidinium,0.1989,0.0557,-0.002,0.3998,False
Dimethylammonium,Hydrazinium,0.6836,-0.0,0.5442,0.8229,True
Dimethylammonium,Hydroxylammonium,0.6563,-0.0,0.5026,0.8099,True
Dimethylammonium,Imidazolium,-0.2094,0.0003,-0.3612,-0.0577,True
Dimethylammonium,Isopropylammonium,0.2456,0.0,0.1023,0.3889,True
Dimethylammonium,Methylammonium,0.4733,-0.0,0.3119,0.6347,True
Dimethylammonium,Propylammonium,0.1842,0.0003,0.0502,0.3181,True
Dimethylammonium,Tetramethylammonium,-0.3263,0.0,-0.5301,-0.1225,True
Dimethylammonium,Trimethylammonium,-0.212,0.0,-0.3521,-0.072,True
Ethylammonium,Formamidinium,-0.1595,0.2186,-0.3487,0.0297,False
Ethylammonium,Guanidinium,-0.1244,0.6795,-0.3164,0.0676,False
Ethylammonium,Hydrazinium,0.3603,-0.0,0.2342,0.4865,True
Ethylammonium,Hydroxylammonium,0.333,0.0,0.1912,0.4749,True
Ethylammonium,Imidazolium,-0.5327,-0.0,-0.6724,-0.3929,True
Ethylammonium,Isopropylammonium,-0.0777,0.7998,-0.2082,0.0529,False
Ethylammonium,Methylammonium,0.15,0.0505,-0.0001,0.3002,False
Ethylammonium,Propylammonium,-0.1391,0.0075,-0.2593,-0.0189,True
Ethylammonium,Tetramethylammonium,-0.6496,-0.0,-0.8446,-0.4545,True
Ethylammonium,Trimethylammonium,-0.5353,-0.0,-0.6622,-0.4084,True
Formamidinium,Guanidinium,0.0352,1.0,-0.2043,0.2746,False
Formamidinium,Hydrazinium,0.5199,-0.0,0.3291,0.7106,True
Formamidinium,Hydroxylammonium,0.4926,-0.0,0.2911,0.694,True
Formamidinium,Imidazolium,-0.3731,0.0,-0.5731,-0.1732,True
Formamidinium,Isopropylammonium,0.0818,0.9872,-0.1118,0.2755,False
Formamidinium,Methylammonium,0.3096,0.0,0.1022,0.517,True
Formamidinium,Propylammonium,0.0205,1.0,-0.1664,0.2073,False
Formamidinium,Tetramethylammonium,-0.49,0.0,-0.7319,-0.2482,True
Formamidinium,Trimethylammonium,-0.3758,0.0,-0.567,-0.1846,True
Guanidinium,Hydrazinium,0.4847,-0.0,0.2912,0.6782,True
Guanidinium,Hydroxylammonium,0.4574,0.0,0.2533,0.6615,True
Guanidinium,Imidazolium,-0.4083,0.0,-0.6109,-0.2057,True
Guanidinium,Isopropylammonium,0.0467,1.0,-0.1497,0.2431,False
Guanidinium,Methylammonium,0.2744,0.0009,0.0644,0.4844,True
Guanidinium,Propylammonium,-0.0147,1.0,-0.2044,0.175,False
Guanidinium,Tetramethylammonium,-0.5252,0.0,-0.7693,-0.2811,True
Guanidinium,Trimethylammonium,-0.4109,0.0,-0.6049,-0.2169,True
Hydrazinium,Hydroxylammonium,-0.0273,1.0,-0.1712,0.1166,False
Hydrazinium,Imidazolium,-0.893,-0.0,-1.0348,-0.7512,True
Hydrazinium,Isopropylammonium,-0.438,-0.0,-0.5708,-0.3053,True
Hydrazinium,Methylammonium,-0.2103,0.0003,-0.3624,-0.0582,True
Hydrazinium,Propylammonium,-0.4994,-0.0,-0.622,-0.3768,True
Hydrazinium,Tetramethylammonium,-1.0099,-0.0,-1.2064,-0.8134,True
Hydrazinium,Trimethylammonium,-0.8956,-0.0,-1.0248,-0.7665,True
Hydroxylammonium,Imidazolium,-0.8657,-0.0,-1.0216,-0.7098,True
Hydroxylammonium,Isopropylammonium,-0.4107,-0.0,-0.5584,-0.263,True
Hydroxylammonium,Methylammonium,-0.183,0.0143,-0.3483,-0.0177,True
Hydroxylammonium,Propylammonium,-0.4721,-0.0,-0.6108,-0.3334,True
Hydroxylammonium,Tetramethylammonium,-0.9826,-0.0,-1.1895,-0.7757,True
Hydroxylammonium,Trimethylammonium,-0.8683,-0.0,-1.0128,-0.7238,True
Imidazolium,Isopropylammonium,0.455,-0.0,0.3093,0.6007,True
Imidazolium,Methylammonium,0.6827,-0.0,0.5192,0.8463,True
Imidazolium,Propylammonium,0.3936,-0.0,0.2571,0.5301,True
Imidazolium,Tetramethylammonium,-0.1169,0.8499,-0.3224,0.0886,False
