group1,group2,meandiff,p-adj,lower,upper,reject
Acetamidinium,Ammonium,0.0727,1.0,-0.3448,0.4901,False
Acetamidinium,Azetidinium,-0.1059,0.9971,-0.3945,0.1827,False
Acetamidinium,Butylammonium,-0.3384,0.2281,-0.7423,0.0655,False
Acetamidinium,Dimethylammonium,-0.0387,1.0,-0.3654,0.288,False
Acetamidinium,Ethylammonium,-0.2063,0.5957,-0.5096,0.0969,False
Acetamidinium,Formamidinium,0.3265,0.3618,-0.0959,0.749,False
Acetamidinium,Guanidinium,-0.2067,0.9566,-0.6345,0.2212,False
Acetamidinium,Hydrazinium,-0.238,0.3583,-0.5452,0.0693,False
Acetamidinium,Hydroxylammonium,0.2159,0.6871,-0.119,0.5508,False
Acetamidinium,Imidazolium,0.1648,0.9444,-0.1664,0.496,False
Acetamidinium,Isopropylammonium,-0.2587,0.2582,-0.5736,0.0562,False
Acetamidinium,Methylammonium,-0.0923,0.9999,-0.4423,0.2577,False
Acetamidinium,Propylammonium,-0.256,0.1878,-0.5529,0.041,False
Acetamidinium,Tetramethylammonium,0.2187,0.938,-0.2149,0.6523,False
Acetamidinium,Trimethylammonium,0.0653,1.0,-0.2433,0.3738,False
Ammonium,Azetidinium,-0.1786,0.959,-0.5508,0.1936,False
Ammonium,Butylammonium,-0.4111,0.1618,-0.8784,0.0562,False
Ammonium,Dimethylammonium,-0.1114,0.9999,-0.5139,0.2911,False
Ammonium,Ethylammonium,-0.279,0.474,-0.6627,0.1046,False
Ammonium,Formamidinium,0.2539,0.915,-0.2296,0.7373,False
Ammonium,Guanidinium,-0.2793,0.8438,-0.7675,0.2088,False
Ammonium,Hydrazinium,-0.3106,0.2955,-0.6975,0.0762,False
Ammonium,Hydroxylammonium,0.1432,0.9983,-0.2659,0.5524,False
Ammonium,Imidazolium,0.0922,1.0,-0.314,0.4983,False
Ammonium,Isopropylammonium,-0.3314,0.2185,-0.7243,0.0616,False
Ammonium,Methylammonium,-0.165,0.9941,-0.5866,0.2566,False
Ammonium,Propylammonium,-0.3286,0.179,-0.7073,0.0501,False
Ammonium,Tetramethylammonium,0.146,0.9998,-0.3472,0.6392,False
Ammonium,Trimethylammonium,-0.0074,1.0,-0.3953,0.3805,False
Azetidinium,Butylammonium,-0.2325,0.6707,-0.5895,0.1245,False
Azetidinium,Dimethylammonium,0.0672,1.0,-0.1993,0.3338,False
Azetidinium,Ethylammonium,-0.1004,0.987,-0.3376,0.1367,False
Azetidinium,Formamidinium,0.4325,0.0088,0.0546,0.8103,True
Azetidinium,Guanidinium,-0.1007,0.9999,-0.4846,0.2831,False
Azetidinium,Hydrazinium,-0.132,0.8884,-0.3744,0.1103,False
Azetidinium,Hydroxylammonium,0.3218,0.0068,0.0453,0.5983,True
Azetidinium,Imidazolium,0.2707,0.0526,-0.0013,0.5428,False
Azetidinium,Isopropylammonium,-0.1528,0.7758,-0.4047,0.0991,False
Azetidinium,Methylammonium,0.0136,1.0,-0.281,0.3082,False
Azetidinium,Propylammonium,-0.15,0.6614,-0.3791,0.0791,False
Azetidinium,Tetramethylammonium,0.3246,0.2391,-0.0657,0.7149,False
Azetidinium,Trimethylammonium,0.1712,0.5399,-0.0727,0.4151,False
Butylammonium,Dimethylammonium,0.2997,0.3651,-0.0888,0.6881,False
Butylammonium,Ethylammonium,0.132,0.9978,-0.2369,0.501,False
Butylammonium,Formamidinium,0.6649,0.0002,0.1931,1.1368,True
Butylammonium,Guanidinium,0.1317,0.9999,-0.3449,0.6084,False
Butylammonium,Hydrazinium,0.1004,0.9999,-0.2718,0.4727,False
Butylammonium,Hydroxylammonium,0.5543,0.0002,0.1589,0.9496,True
Butylammonium,Imidazolium,0.5032,0.0013,0.111,0.8954,True
Butylammonium,Isopropylammonium,0.0797,1.0,-0.2989,0.4582,False
Butylammonium,Methylammonium,0.2461,0.7837,-0.1621,0.6543,False
Butylammonium,Propylammonium,0.0824,1.0,-0.2813,0.4462,False
Butylammonium,Tetramethylammonium,0.5571,0.0076,0.0753,1.0389,True
Butylammonium,Trimethylammonium,0.4037,0.0196,0.0304,0.7769,True
Dimethylammonium,Ethylammonium,-0.1676,0.8024,-0.4499,0.1147,False
Dimethylammonium,Formamidinium,0.3652,0.1403,-0.0425,0.773,False
Dimethylammonium,Guanidinium,-0.1679,0.9914,-0.5812,0.2453,False
Dimethylammonium,Hydrazinium,-0.1992,0.5576,-0.4859,0.0874,False
Dimethylammonium,Hydroxylammonium,0.2546,0.2903,-0.0615,0.5707,False
Dimethylammonium,Imidazolium,0.2035,0.6688,-0.1086,0.5157,False
Dimethylammonium,Isopropylammonium,-0.22,0.426,-0.5148,0.0748,False
Dimethylammonium,Methylammonium,-0.0536,1.0,-0.3856,0.2784,False
Dimethylammonium,Propylammonium,-0.2173,0.3267,-0.4928,0.0583,False
Dimethylammonium,Tetramethylammonium,0.2574,0.7594,-0.1618,0.6766,False
Dimethylammonium,Trimethylammonium,0.104,0.9975,-0.184,0.392,False
Ethylammonium,Formamidinium,0.5329,0.0003,0.1437,0.922,True
Ethylammonium,Guanidinium,-0.0003,1.0,-0.3953,0.3947,False
Ethylammonium,Hydrazinium,-0.0316,1.0,-0.2912,0.228,False
Ethylammonium,Hydroxylammonium,0.4222,0.0001,0.1305,0.714,True
