group1,group2,meandiff,p-adj,lower,upper,reject
Acetamidinium_Germanium,Acetamidinium_Lead,0.3888,0.0,0.1128,0.6647,True
Acetamidinium_Germanium,Acetamidinium_Tin,0.0783,1.0,-0.1941,0.3507,False
Acetamidinium_Germanium,Ammonium_Germanium,1.0002,-0.0,0.6639,1.3366,True
Acetamidinium_Germanium,Ammonium_Lead,1.4471,-0.0,1.0973,1.797,True
Acetamidinium_Germanium,Ammonium_Tin,1.0778,-0.0,0.7621,1.3936,True
Acetamidinium_Germanium,Azetidinium_Germanium,-0.2381,0.0351,-0.4703,-0.0058,True
Acetamidinium_Germanium,Azetidinium_Lead,0.0736,1.0,-0.1618,0.309,False
Acetamidinium_Germanium,Azetidinium_Tin,-0.1401,0.9554,-0.3698,0.0895,False
Acetamidinium_Germanium,Butylammonium_Germanium,-0.0249,1.0,-0.3501,0.3003,False
Acetamidinium_Germanium,Butylammonium_Lead,0.2564,0.34,-0.0513,0.564,False
Acetamidinium_Germanium,Butylammonium_Tin,0.094,1.0,-0.2423,0.4304,False
Acetamidinium_Germanium,Dimethylammonium_Germanium,-0.0818,1.0,-0.3404,0.1769,False
Acetamidinium_Germanium,Dimethylammonium_Lead,0.2709,0.039,0.0047,0.5371,True
Acetamidinium_Germanium,Dimethylammonium_Tin,-0.0105,1.0,-0.2715,0.2505,False
Acetamidinium_Germanium,Ethylammonium_Germanium,0.262,0.0162,0.0184,0.5056,True
Acetamidinium_Germanium,Ethylammonium_Lead,0.5405,-0.0,0.2942,0.7867,True
Acetamidinium_Germanium,Ethylammonium_Tin,0.3336,0.0,0.0924,0.5748,True
Acetamidinium_Germanium,Formamidinium_Germanium,0.0911,1.0,-0.2453,0.4275,False
Acetamidinium_Germanium,Formamidinium_Lead,0.4456,0.0002,0.1092,0.7819,True
Acetamidinium_Germanium,Formamidinium_Tin,0.1082,1.0,-0.2282,0.4446,False
Acetamidinium_Germanium,Guanidinium_Germanium,0.0842,1.0,-0.2522,0.4205,False
Acetamidinium_Germanium,Guanidinium_Lead,0.5245,0.0,0.1882,0.8609,True
Acetamidinium_Germanium,Guanidinium_Tin,0.1281,1.0,-0.2218,0.4779,False
Acetamidinium_Germanium,Hydrazinium_Germanium,0.6026,-0.0,0.3577,0.8475,True
Acetamidinium_Germanium,Hydrazinium_Lead,1.0288,-0.0,0.7743,1.2833,True
Acetamidinium_Germanium,Hydrazinium_Tin,0.6345,-0.0,0.3921,0.8769,True
Acetamidinium_Germanium,Hydroxylammonium_Germanium,0.5668,-0.0,0.3006,0.833,True
Acetamidinium_Germanium,Hydroxylammonium_Lead,0.9949,-0.0,0.7257,1.264,True
Acetamidinium_Germanium,Hydroxylammonium_Tin,0.5679,-0.0,0.2988,0.8371,True
Acetamidinium_Germanium,Imidazolium_Germanium,-0.3051,0.0041,-0.5686,-0.0416,True
Acetamidinium_Germanium,Imidazolium_Lead,0.115,1.0,-0.161,0.391,False
Acetamidinium_Germanium,Imidazolium_Tin,-0.2284,0.2109,-0.4871,0.0303,False
Acetamidinium_Germanium,Isopropylammonium_Germanium,0.1391,0.9927,-0.1154,0.3936,False
Acetamidinium_Germanium,Isopropylammonium_Lead,0.4728,0.0,0.2219,0.7237,True
Acetamidinium_Germanium,Isopropylammonium_Tin,0.2662,0.0228,0.0135,0.5188,True
Acetamidinium_Germanium,Methylammonium_Germanium,0.3581,0.0004,0.0782,0.638,True
Acetamidinium_Germanium,Methylammonium_Lead,0.7851,-0.0,0.5009,1.0693,True
Acetamidinium_Germanium,Methylammonium_Tin,0.4501,0.0,0.1741,0.7261,True
Acetamidinium_Germanium,Propylammonium_Germanium,0.0973,1.0,-0.1418,0.3363,False
Acetamidinium_Germanium,Propylammonium_Lead,0.4361,0.0,0.1949,0.6774,True
Acetamidinium_Germanium,Propylammonium_Tin,0.1876,0.466,-0.0487,0.4238,False
Acetamidinium_Germanium,Tetramethylammonium_Germanium,-0.3881,0.0094,-0.738,-0.0383,True
Acetamidinium_Germanium,Tetramethylammonium_Lead,-0.1517,0.9999,-0.4881,0.1847,False
Acetamidinium_Germanium,Tetramethylammonium_Tin,-0.3008,0.2666,-0.6506,0.0491,False
Acetamidinium_Germanium,Trimethylammonium_Germanium,-0.3046,0.002,-0.5591,-0.0501,True
Acetamidinium_Germanium,Trimethylammonium_Lead,0.0093,1.0,-0.2356,0.2542,False
Acetamidinium_Germanium,Trimethylammonium_Tin,-0.214,0.2313,-0.4589,0.0308,False
Acetamidinium_Lead,Acetamidinium_Tin,-0.3105,0.0041,-0.5789,-0.0421,True
Acetamidinium_Lead,Ammonium_Germanium,0.6114,0.0,0.2783,0.9446,True
Acetamidinium_Lead,Ammonium_Lead,1.0583,-0.0,0.7116,1.4051,True
Acetamidinium_Lead,Ammonium_Tin,0.6891,-0.0,0.3768,1.0013,True
Acetamidinium_Lead,Azetidinium_Germanium,-0.6268,-0.0,-0.8544,-0.3993,True
Acetamidinium_Lead,Azetidinium_Lead,-0.3152,0.0001,-0.5459,-0.0844,True
Acetamidinium_Lead,Azetidinium_Tin,-0.5289,-0.0,-0.7538,-0.304,True
Acetamidinium_Lead,Butylammonium_Germanium,-0.4137,0.0004,-0.7355,-0.0919,True
Acetamidinium_Lead,Butylammonium_Lead,-0.1324,1.0,-0.4365,0.1717,False
Acetamidinium_Lead,Butylammonium_Tin,-0.2947,0.2069,-0.6279,0.0384,False
Acetamidinium_Lead,Dimethylammonium_Germanium,-0.4706,0.0,-0.725,-0.2161,True
Acetamidinium_Lead,Dimethylammonium_Lead,-0.1179,0.9999,-0.38,0.1442,False
Acetamidinium_Lead,Dimethylammonium_Tin,-0.3993,0.0,-0.6561,-0.1425,True
Acetamidinium_Lead,Ethylammonium_Germanium,-0.1268,0.9958,-0.3659,0.1123,False
Acetamidinium_Lead,Ethylammonium_Lead,0.1517,0.9348,-0.0901,0.3935,False
Acetamidinium_Lead,Ethylammonium_Tin,-0.0552,1.0,-0.2919,0.1815,False
Acetamidinium_Lead,Formamidinium_Germanium,-0.2977,0.1883,-0.6308,0.0354,False
Acetamidinium_Lead,Formamidinium_Lead,0.0568,1.0,-0.2763,0.3899,False
Acetamidinium_Lead,Formamidinium_Tin,-0.2806,0.3141,-0.6137,0.0525,False
Acetamidinium_Lead,Guanidinium_Germanium,-0.3046,0.1492,-0.6377,0.0285,False
Acetamidinium_Lead,Guanidinium_Lead,0.1358,1.0,-0.1974,0.4689,False
Acetamidinium_Lead,Guanidinium_Tin,-0.2607,0.612,-0.6074,0.086,False
Acetamidinium_Lead,Hydrazinium_Germanium,0.2138,0.1973,-0.0266,0.4542,False
Acetamidinium_Lead,Hydrazinium_Lead,0.64,-0.0,0.3898,0.8902,True
Acetamidinium_Lead,Hydrazinium_Tin,0.2457,0.0311,0.0079,0.4836,True
Acetamidinium_Lead,Hydroxylammonium_Germanium,0.178,0.8351,-0.0841,0.4401,False
Acetamidinium_Lead,Hydroxylammonium_Lead,0.6061,-0.0,0.341,0.8712,True
Acetamidinium_Lead,Hydroxylammonium_Tin,0.1791,0.8435,-0.086,0.4442,False
Acetamidinium_Lead,Imidazolium_Germanium,-0.6939,-0.0,-0.9532,-0.4345,True
Acetamidinium_Lead,Imidazolium_Lead,-0.2738,0.0456,-0.5458,-0.0018,True
Acetamidinium_Lead,Imidazolium_Tin,-0.6172,-0.0,-0.8716,-0.3627,True
Acetamidinium_Lead,Isopropylammonium_Germanium,-0.2497,0.0514,-0.4999,0.0005,False
Acetamidinium_Lead,Isopropylammonium_Lead,0.084,1.0,-0.1625,0.3306,False
Acetamidinium_Lead,Isopropylammonium_Tin,-0.1226,0.9991,-0.3709,0.1257,False
Acetamidinium_Lead,Methylammonium_Germanium,-0.0307,1.0,-0.3066,0.2453,False
Acetamidinium_Lead,Methylammonium_Lead,0.3963,0.0,0.116,0.6767,True
Acetamidinium_Lead,Methylammonium_Tin,0.0613,1.0,-0.2107,0.3333,False
Acetamidinium_Lead,Propylammonium_Germanium,-0.2915,0.0008,-0.526,-0.057,True
Acetamidinium_Lead,Propylammonium_Lead,0.0473,1.0,-0.1893,0.284,False
Acetamidinium_Lead,Propylammonium_Tin,-0.2012,0.244,-0.4328,0.0304,False
Acetamidinium_Lead,Tetramethylammonium_Germanium,-0.7769,-0.0,-1.1236,-0.4302,True
Acetamidinium_Lead,Tetramethylammonium_Lead,-0.5405,0.0,-0.8736,-0.2074,True
Acetamidinium_Lead,Tetramethylammonium_Tin,-0.6896,0.0,-1.0363,-0.3428,True
Acetamidinium_Lead,Trimethylammonium_Germanium,-0.6934,-0.0,-0.9436,-0.4432,True
Acetamidinium_Lead,Trimethylammonium_Lead,-0.3795,0.0,-0.6199,-0.1391,True
Acetamidinium_Lead,Trimethylammonium_Tin,-0.6028,-0.0,-0.8432,-0.3624,True
Acetamidinium_Tin,Ammonium_Germanium,0.922,-0.0,0.5918,1.2521,True
Acetamidinium_Tin,Ammonium_Lead,1.3689,-0.0,1.025,1.7128,True
Acetamidinium_Tin,Ammonium_Tin,0.9996,-0.0,0.6904,1.3087,True
Acetamidinium_Tin,Azetidinium_Germanium,-0.3163,0.0,-0.5396,-0.0931,True
Acetamidinium_Tin,Azetidinium_Lead,-0.0046,1.0,-0.2311,0.2218,False
Acetamidinium_Tin,Azetidinium_Tin,-0.2184,0.0571,-0.4389,0.0021,False
Acetamidinium_Tin,Butylammonium_Germanium,-0.1032,1.0,-0.422,0.2156,False
Acetamidinium_Tin,Butylammonium_Lead,0.1781,0.9715,-0.1228,0.479,False
Acetamidinium_Tin,Butylammonium_Tin,0.0158,1.0,-0.3144,0.346,False
Acetamidinium_Tin,Dimethylammonium_Germanium,-0.1601,0.9178,-0.4106,0.0905,False
Acetamidinium_Tin,Dimethylammonium_Lead,0.1926,0.634,-0.0657,0.451,False
