group1,group2,meandiff,p-adj,lower,upper,reject
Acetamidinium_Germanium,Acetamidinium_Lead,0.0265,1.0,-0.623,0.6761,False
Acetamidinium_Germanium,Acetamidinium_Tin,-0.3912,0.9555,-1.0324,0.25,False
Acetamidinium_Germanium,Ammonium_Germanium,-0.0475,1.0,-0.8392,0.7443,False
Acetamidinium_Germanium,Ammonium_Lead,0.3318,1.0,-0.4917,1.1552,False
Acetamidinium_Germanium,Ammonium_Tin,-0.3454,0.9998,-1.0886,0.3978,False
Acetamidinium_Germanium,Azetidinium_Germanium,-0.0729,1.0,-0.6197,0.4739,False
Acetamidinium_Germanium,Azetidinium_Lead,-0.1382,1.0,-0.6922,0.4159,False
Acetamidinium_Germanium,Azetidinium_Tin,-0.4641,0.2697,-1.0048,0.0765,False
Acetamidinium_Germanium,Butylammonium_Germanium,-0.2189,1.0,-0.9843,0.5466,False
Acetamidinium_Germanium,Butylammonium_Lead,-0.6126,0.3037,-1.3368,0.1116,False
Acetamidinium_Germanium,Butylammonium_Tin,-0.5493,0.7969,-1.341,0.2425,False
Acetamidinium_Germanium,Dimethylammonium_Germanium,-0.0325,1.0,-0.6413,0.5764,False
Acetamidinium_Germanium,Dimethylammonium_Lead,-0.0362,1.0,-0.6629,0.5904,False
Acetamidinium_Germanium,Dimethylammonium_Tin,-0.4283,0.7871,-1.0427,0.186,False
Acetamidinium_Germanium,Ethylammonium_Germanium,-0.1892,1.0,-0.7626,0.3842,False
Acetamidinium_Germanium,Ethylammonium_Lead,-0.1913,1.0,-0.7709,0.3884,False
Acetamidinium_Germanium,Ethylammonium_Tin,-0.6003,0.0216,-1.1681,-0.0325,True
Acetamidinium_Germanium,Formamidinium_Germanium,0.3066,1.0,-0.4851,1.0984,False
Acetamidinium_Germanium,Formamidinium_Lead,0.4398,0.9901,-0.352,1.2316,False
Acetamidinium_Germanium,Formamidinium_Tin,-0.1533,1.0,-0.945,0.6385,False
Acetamidinium_Germanium,Guanidinium_Germanium,-0.2161,1.0,-1.0078,0.5757,False
Acetamidinium_Germanium,Guanidinium_Lead,-0.0823,1.0,-0.8741,0.7094,False
Acetamidinium_Germanium,Guanidinium_Tin,-0.7546,0.1459,-1.5781,0.0689,False
Acetamidinium_Germanium,Hydrazinium_Germanium,-0.3875,0.8518,-0.964,0.1889,False
Acetamidinium_Germanium,Hydrazinium_Lead,0.0505,1.0,-0.5485,0.6496,False
Acetamidinium_Germanium,Hydrazinium_Tin,-0.6664,0.0034,-1.2369,-0.0958,True
Acetamidinium_Germanium,Hydroxylammonium_Germanium,-0.0016,1.0,-0.6283,0.625,False
Acetamidinium_Germanium,Hydroxylammonium_Lead,0.5489,0.2501,-0.0847,1.1825,False
Acetamidinium_Germanium,Hydroxylammonium_Tin,-0.2816,0.9999,-0.9152,0.352,False
Acetamidinium_Germanium,Imidazolium_Germanium,0.0857,1.0,-0.5345,0.706,False
Acetamidinium_Germanium,Imidazolium_Lead,0.2998,0.9998,-0.3498,0.9493,False
Acetamidinium_Germanium,Imidazolium_Tin,-0.2074,1.0,-0.8163,0.4014,False
Acetamidinium_Germanium,Isopropylammonium_Germanium,-0.2374,1.0,-0.8365,0.3616,False
Acetamidinium_Germanium,Isopropylammonium_Lead,-0.3492,0.972,-0.9398,0.2413,False
Acetamidinium_Germanium,Isopropylammonium_Tin,-0.5718,0.0839,-1.1664,0.0229,False
Acetamidinium_Germanium,Methylammonium_Germanium,-0.1818,1.0,-0.8406,0.4769,False
Acetamidinium_Germanium,Methylammonium_Lead,0.1116,1.0,-0.5574,0.7806,False
Acetamidinium_Germanium,Methylammonium_Tin,-0.554,0.2846,-1.2036,0.0955,False
Acetamidinium_Germanium,Propylammonium_Germanium,-0.1723,1.0,-0.735,0.3905,False
Acetamidinium_Germanium,Propylammonium_Lead,-0.4265,0.6146,-0.9943,0.1413,False
Acetamidinium_Germanium,Propylammonium_Tin,-0.5448,0.066,-1.1009,0.0112,False
Acetamidinium_Germanium,Tetramethylammonium_Germanium,0.3871,0.9997,-0.4363,1.2106,False
Acetamidinium_Germanium,Tetramethylammonium_Lead,-0.0659,1.0,-0.8577,0.7258,False
Acetamidinium_Germanium,Tetramethylammonium_Tin,-0.0321,1.0,-0.8556,0.7913,False
Acetamidinium_Germanium,Trimethylammonium_Germanium,0.1753,1.0,-0.4237,0.7744,False
Acetamidinium_Germanium,Trimethylammonium_Lead,-0.0455,1.0,-0.622,0.5309,False
Acetamidinium_Germanium,Trimethylammonium_Tin,-0.2756,0.9996,-0.852,0.3008,False
Acetamidinium_Lead,Acetamidinium_Tin,-0.4178,0.8761,-1.0495,0.214,False
Acetamidinium_Lead,Ammonium_Germanium,-0.074,1.0,-0.8581,0.7101,False
Acetamidinium_Lead,Ammonium_Lead,0.3052,1.0,-0.5109,1.1213,False
Acetamidinium_Lead,Ammonium_Tin,-0.3719,0.9984,-1.107,0.3631,False
Acetamidinium_Lead,Azetidinium_Germanium,-0.0994,1.0,-0.6351,0.4362,False
Acetamidinium_Lead,Azetidinium_Lead,-0.1647,1.0,-0.7078,0.3783,False
Acetamidinium_Lead,Azetidinium_Tin,-0.4907,0.1289,-1.02,0.0387,False
Acetamidinium_Lead,Butylammonium_Germanium,-0.2454,1.0,-1.0029,0.5121,False
Acetamidinium_Lead,Butylammonium_Lead,-0.6391,0.1897,-1.3549,0.0767,False
Acetamidinium_Lead,Butylammonium_Tin,-0.5758,0.6717,-1.3599,0.2083,False
Acetamidinium_Lead,Dimethylammonium_Germanium,-0.059,1.0,-0.6579,0.5399,False
Acetamidinium_Lead,Dimethylammonium_Lead,-0.0628,1.0,-0.6797,0.5542,False
Acetamidinium_Lead,Dimethylammonium_Tin,-0.4549,0.6097,-1.0593,0.1496,False
Acetamidinium_Lead,Ethylammonium_Germanium,-0.2157,1.0,-0.7785,0.3471,False
Acetamidinium_Lead,Ethylammonium_Lead,-0.2178,1.0,-0.787,0.3514,False
Acetamidinium_Lead,Ethylammonium_Tin,-0.6268,0.0072,-1.1839,-0.0697,True
Acetamidinium_Lead,Formamidinium_Germanium,0.2801,1.0,-0.504,1.0642,False
Acetamidinium_Lead,Formamidinium_Lead,0.4133,0.9963,-0.3708,1.1974,False
Acetamidinium_Lead,Formamidinium_Tin,-0.1798,1.0,-0.9639,0.6043,False
Acetamidinium_Lead,Guanidinium_Germanium,-0.2426,1.0,-1.0267,0.5415,False
Acetamidinium_Lead,Guanidinium_Lead,-0.1088,1.0,-0.893,0.6753,False
Acetamidinium_Lead,Guanidinium_Tin,-0.7811,0.0888,-1.5973,0.035,False
Acetamidinium_Lead,Hydrazinium_Germanium,-0.414,0.6806,-0.9799,0.1518,False
Acetamidinium_Lead,Hydrazinium_Lead,0.024,1.0,-0.5649,0.6129,False
Acetamidinium_Lead,Hydrazinium_Tin,-0.6929,0.0009,-1.2527,-0.133,True
Acetamidinium_Lead,Hydroxylammonium_Germanium,-0.0282,1.0,-0.6451,0.5888,False
Acetamidinium_Lead,Hydroxylammonium_Lead,0.5223,0.3291,-0.1017,1.1463,False
Acetamidinium_Lead,Hydroxylammonium_Tin,-0.3081,0.9991,-0.9321,0.3159,False
Acetamidinium_Lead,Imidazolium_Germanium,0.0592,1.0,-0.5512,0.6696,False
Acetamidinium_Lead,Imidazolium_Lead,0.2732,1.0,-0.367,0.9134,False
Acetamidinium_Lead,Imidazolium_Tin,-0.2339,1.0,-0.8328,0.3649,False
Acetamidinium_Lead,Isopropylammonium_Germanium,-0.264,0.9999,-0.8529,0.3249,False
Acetamidinium_Lead,Isopropylammonium_Lead,-0.3757,0.9028,-0.956,0.2045,False
Acetamidinium_Lead,Isopropylammonium_Tin,-0.5983,0.0356,-1.1827,-0.0139,True
Acetamidinium_Lead,Methylammonium_Germanium,-0.2084,1.0,-0.8579,0.4412,False
Acetamidinium_Lead,Methylammonium_Lead,0.0851,1.0,-0.5748,0.745,False
Acetamidinium_Lead,Methylammonium_Tin,-0.5806,0.1627,-1.2208,0.0597,False
Acetamidinium_Lead,Propylammonium_Germanium,-0.1988,1.0,-0.7507,0.3531,False
Acetamidinium_Lead,Propylammonium_Lead,-0.453,0.4025,-1.0101,0.104,False
Acetamidinium_Lead,Propylammonium_Tin,-0.5714,0.0248,-1.1165,-0.0262,True
Acetamidinium_Lead,Tetramethylammonium_Germanium,0.3606,0.9999,-0.4555,1.1767,False
Acetamidinium_Lead,Tetramethylammonium_Lead,-0.0925,1.0,-0.8766,0.6916,False
Acetamidinium_Lead,Tetramethylammonium_Tin,-0.0587,1.0,-0.8748,0.7575,False
Acetamidinium_Lead,Trimethylammonium_Germanium,0.1488,1.0,-0.4401,0.7377,False
Acetamidinium_Lead,Trimethylammonium_Lead,-0.0721,1.0,-0.638,0.4938,False
Acetamidinium_Lead,Trimethylammonium_Tin,-0.3021,0.9953,-0.868,0.2637,False
Acetamidinium_Tin,Ammonium_Germanium,0.3438,0.9999,-0.4334,1.121,False
Acetamidinium_Tin,Ammonium_Lead,0.723,0.1892,-0.0865,1.5325,False
Acetamidinium_Tin,Ammonium_Tin,0.0459,1.0,-0.6818,0.7735,False
Acetamidinium_Tin,Azetidinium_Germanium,0.3183,0.9598,-0.2071,0.8438,False
Acetamidinium_Tin,Azetidinium_Lead,0.253,0.9996,-0.28,0.7861,False
Acetamidinium_Tin,Azetidinium_Tin,-0.0729,1.0,-0.592,0.4462,False
Acetamidinium_Tin,Butylammonium_Germanium,0.1724,1.0,-0.578,0.9227,False
Acetamidinium_Tin,Butylammonium_Lead,-0.2214,1.0,-0.9296,0.4868,False
Acetamidinium_Tin,Butylammonium_Tin,-0.1581,1.0,-0.9353,0.6191,False
Acetamidinium_Tin,Dimethylammonium_Germanium,0.3588,0.9574,-0.231,0.9486,False
Acetamidinium_Tin,Dimethylammonium_Lead,0.355,0.9771,-0.2531,0.9631,False
Acetamidinium_Tin,Dimethylammonium_Tin,-0.0371,1.0,-0.6325,0.5583,False
Acetamidinium_Tin,Ethylammonium_Germanium,0.2021,1.0,-0.3511,0.7552,False
Acetamidinium_Tin,Ethylammonium_Lead,0.2,1.0,-0.3596,0.7596,False
Acetamidinium_Tin,Ethylammonium_Tin,-0.209,1.0,-0.7563,0.3383,False
Acetamidinium_Tin,Formamidinium_Germanium,0.6979,0.1796,-0.0793,1.4751,False
Acetamidinium_Tin,Formamidinium_Lead,0.831,0.0179,0.0538,1.6082,True
Acetamidinium_Tin,Formamidinium_Tin,0.238,1.0,-0.5392,1.0152,False
Acetamidinium_Tin,Guanidinium_Germanium,0.1752,1.0,-0.602,0.9524,False
Acetamidinium_Tin,Guanidinium_Lead,0.3089,1.0,-0.4683,1.0861,False
Acetamidinium_Tin,Guanidinium_Tin,-0.3634,0.9999,-1.1729,0.4461,False
Acetamidinium_Tin,Hydrazinium_Germanium,0.0037,1.0,-0.5526,0.56,False
Acetamidinium_Tin,Hydrazinium_Lead,0.4418,0.5768,-0.1379,1.0214,False
Acetamidinium_Tin,Hydrazinium_Tin,-0.2751,0.9988,-0.8253,0.275,False
