group1,group2,meandiff,p-adj,lower,upper,reject
Acetamidinium_Germanium,Acetamidinium_Lead,-0.1793,1.0,-0.9941,0.6355,False
Acetamidinium_Germanium,Acetamidinium_Tin,-0.3441,1.0,-1.1484,0.4602,False
Acetamidinium_Germanium,Ammonium_Germanium,-0.1434,1.0,-1.1365,0.8498,False
Acetamidinium_Germanium,Ammonium_Lead,-0.0041,1.0,-1.0371,1.0288,False
Acetamidinium_Germanium,Ammonium_Tin,-0.2254,1.0,-1.1577,0.7068,False
Acetamidinium_Germanium,Azetidinium_Germanium,-0.0116,1.0,-0.6974,0.6743,False
Acetamidinium_Germanium,Azetidinium_Lead,-0.2273,1.0,-0.9223,0.4677,False
Acetamidinium_Germanium,Azetidinium_Tin,-0.2966,1.0,-0.9747,0.3816,False
Acetamidinium_Germanium,Butylammonium_Germanium,0.0598,1.0,-0.9004,1.0199,False
Acetamidinium_Germanium,Butylammonium_Lead,-0.1191,1.0,-1.0275,0.7892,False
Acetamidinium_Germanium,Butylammonium_Tin,-0.1208,1.0,-1.1139,0.8723,False
Acetamidinium_Germanium,Dimethylammonium_Germanium,-0.0354,1.0,-0.7991,0.7283,False
Acetamidinium_Germanium,Dimethylammonium_Lead,-0.2144,1.0,-1.0004,0.5716,False
Acetamidinium_Germanium,Dimethylammonium_Tin,-0.3725,0.9994,-1.1431,0.3981,False
Acetamidinium_Germanium,Ethylammonium_Germanium,-0.0533,1.0,-0.7725,0.666,False
Acetamidinium_Germanium,Ethylammonium_Lead,-0.0684,1.0,-0.7954,0.6587,False
Acetamidinium_Germanium,Ethylammonium_Tin,-0.2965,1.0,-1.0087,0.4157,False
Acetamidinium_Germanium,Formamidinium_Germanium,-0.3422,1.0,-1.3354,0.6509,False
Acetamidinium_Germanium,Formamidinium_Lead,-0.3707,1.0,-1.3639,0.6224,False
Acetamidinium_Germanium,Formamidinium_Tin,-0.7593,0.5679,-1.7525,0.2338,False
Acetamidinium_Germanium,Guanidinium_Germanium,-0.2333,1.0,-1.2264,0.7598,False
