group1,group2,meandiff,p-adj,lower,upper,reject
Acetamidinium,Ammonium,0.045,1.0,-0.4438,0.5339,False
Acetamidinium,Azetidinium,0.0003,1.0,-0.3377,0.3383,False
Acetamidinium,Butylammonium,0.1189,1.0,-0.3541,0.5919,False
Acetamidinium,Dimethylammonium,-0.0238,1.0,-0.4065,0.3588,False
Acetamidinium,Ethylammonium,0.0369,1.0,-0.3183,0.392,False
Acetamidinium,Formamidinium,-0.3099,0.7309,-0.8047,0.1848,False
Acetamidinium,Guanidinium,-0.2579,0.9273,-0.7589,0.2432,False
Acetamidinium,Hydrazinium,-0.0488,1.0,-0.4086,0.3111,False
Acetamidinium,Hydroxylammonium,0.0025,1.0,-0.3897,0.3947,False
Acetamidinium,Imidazolium,-0.0016,1.0,-0.3895,0.3863,False
Acetamidinium,Isopropylammonium,0.1869,0.9356,-0.1819,0.5557,False
Acetamidinium,Methylammonium,-0.2032,0.9461,-0.6131,0.2067,False
Acetamidinium,Propylammonium,0.1164,0.999,-0.2313,0.4642,False
Acetamidinium,Tetramethylammonium,0.1871,0.9969,-0.3207,0.6949,False
Acetamidinium,Trimethylammonium,0.0453,1.0,-0.316,0.4066,False
Ammonium,Azetidinium,-0.0447,1.0,-0.4806,0.3912,False
Ammonium,Butylammonium,0.0739,1.0,-0.4734,0.6212,False
Ammonium,Dimethylammonium,-0.0689,1.0,-0.5402,0.4025,False
Ammonium,Ethylammonium,-0.0082,1.0,-0.4575,0.4412,False
Ammonium,Formamidinium,-0.3549,0.7298,-0.9211,0.2112,False
Ammonium,Guanidinium,-0.3029,0.9092,-0.8746,0.2688,False
Ammonium,Hydrazinium,-0.0938,1.0,-0.5469,0.3593,False
Ammonium,Hydroxylammonium,-0.0425,1.0,-0.5217,0.4366,False
Ammonium,Imidazolium,-0.0466,1.0,-0.5223,0.429,False
Ammonium,Isopropylammonium,0.1419,0.9996,-0.3183,0.602,False
Ammonium,Methylammonium,-0.2482,0.9396,-0.742,0.2455,False
Ammonium,Propylammonium,0.0714,1.0,-0.3721,0.515,False
Ammonium,Tetramethylammonium,0.1421,1.0,-0.4355,0.7197,False
Ammonium,Trimethylammonium,0.0003,1.0,-0.4539,0.4545,False
Azetidinium,Butylammonium,0.1186,0.9999,-0.2994,0.5367,False
Azetidinium,Dimethylammonium,-0.0242,1.0,-0.3363,0.288,False
Azetidinium,Ethylammonium,0.0366,1.0,-0.2412,0.3143,False
Azetidinium,Formamidinium,-0.3102,0.5421,-0.7528,0.1323,False
Azetidinium,Guanidinium,-0.2582,0.8401,-0.7077,0.1914,False
Azetidinium,Hydrazinium,-0.0491,1.0,-0.3329,0.2347,False
Azetidinium,Hydroxylammonium,0.0022,1.0,-0.3217,0.326,False
Azetidinium,Imidazolium,-0.0019,1.0,-0.3205,0.3167,False
Azetidinium,Isopropylammonium,0.1866,0.7168,-0.1085,0.4816,False
Azetidinium,Methylammonium,-0.2035,0.8104,-0.5485,0.1415,False
Azetidinium,Propylammonium,0.1161,0.9839,-0.1522,0.3844,False
Azetidinium,Tetramethylammonium,0.1868,0.9909,-0.2702,0.6439,False
Azetidinium,Trimethylammonium,0.045,1.0,-0.2407,0.3307,False
Butylammonium,Dimethylammonium,-0.1428,0.9995,-0.5977,0.3121,False
Butylammonium,Ethylammonium,-0.0821,1.0,-0.5141,0.35,False
Butylammonium,Formamidinium,-0.4289,0.3544,-0.9814,0.1237,False
Butylammonium,Guanidinium,-0.3768,0.6101,-0.935,0.1814,False
Butylammonium,Hydrazinium,-0.1677,0.9951,-0.6037,0.2682,False
Butylammonium,Hydroxylammonium,-0.1164,1.0,-0.5795,0.3466,False
Butylammonium,Imidazolium,-0.1205,0.9999,-0.5799,0.3388,False
Butylammonium,Isopropylammonium,0.0679,1.0,-0.3754,0.5113,False
Butylammonium,Methylammonium,-0.3221,0.6131,-0.8002,0.1559,False
Butylammonium,Propylammonium,-0.0025,1.0,-0.4285,0.4235,False
Butylammonium,Tetramethylammonium,0.0682,1.0,-0.4961,0.6325,False
Butylammonium,Trimethylammonium,-0.0736,1.0,-0.5108,0.3635,False
Dimethylammonium,Ethylammonium,0.0607,1.0,-0.2699,0.3913,False
Dimethylammonium,Formamidinium,-0.2861,0.7914,-0.7636,0.1914,False
Dimethylammonium,Guanidinium,-0.234,0.9563,-0.718,0.25,False
Dimethylammonium,Hydrazinium,-0.0249,1.0,-0.3606,0.3108,False
Dimethylammonium,Hydroxylammonium,0.0263,1.0,-0.3438,0.3965,False
Dimethylammonium,Imidazolium,0.0222,1.0,-0.3433,0.3878,False
Dimethylammonium,Isopropylammonium,0.2107,0.7674,-0.1345,0.556,False
Dimethylammonium,Methylammonium,-0.1794,0.971,-0.5682,0.2095,False
Dimethylammonium,Propylammonium,0.1403,0.9833,-0.1824,0.463,False
Dimethylammonium,Tetramethylammonium,0.211,0.985,-0.28,0.7019,False
Dimethylammonium,Trimethylammonium,0.0692,1.0,-0.2681,0.4064,False
Ethylammonium,Formamidinium,-0.3468,0.3901,-0.8025,0.109,False
Ethylammonium,Guanidinium,-0.2947,0.7054,-0.7573,0.1679,False
Ethylammonium,Hydrazinium,-0.0857,0.9999,-0.3896,0.2183,False
