group1,group2,meandiff,p-adj,lower,upper,reject
Acetamidinium,Ammonium,0.0031,1.0,-0.414,0.4203,False
Acetamidinium,Azetidinium,0.1013,0.9982,-0.1871,0.3897,False
Acetamidinium,Butylammonium,0.2649,0.6581,-0.1387,0.6685,False
Acetamidinium,Dimethylammonium,0.089,0.9999,-0.2375,0.4154,False
Acetamidinium,Ethylammonium,0.1674,0.8768,-0.1356,0.4704,False
Acetamidinium,Formamidinium,-0.06,1.0,-0.4822,0.3621,False
Acetamidinium,Guanidinium,-0.0071,1.0,-0.4347,0.4204,False
Acetamidinium,Hydrazinium,0.0358,1.0,-0.2712,0.3429,False
Acetamidinium,Hydroxylammonium,-0.205,0.7622,-0.5397,0.1296,False
Acetamidinium,Imidazolium,-0.1018,0.9996,-0.4327,0.2292,False
Acetamidinium,Isopropylammonium,0.2226,0.5255,-0.0921,0.5372,False
Acetamidinium,Methylammonium,0.0395,1.0,-0.3102,0.3893,False
Acetamidinium,Propylammonium,0.2783,0.0948,-0.0185,0.575,False
Acetamidinium,Tetramethylammonium,0.232,0.9017,-0.2013,0.6653,False
Acetamidinium,Trimethylammonium,0.1354,0.9816,-0.1729,0.4437,False
Ammonium,Azetidinium,0.0982,0.9999,-0.2737,0.4701,False
Ammonium,Butylammonium,0.2617,0.8641,-0.2053,0.7287,False
Ammonium,Dimethylammonium,0.0858,1.0,-0.3164,0.488,False
Ammonium,Ethylammonium,0.1643,0.9854,-0.2191,0.5477,False
Ammonium,Formamidinium,-0.0632,1.0,-0.5463,0.4199,False
Ammonium,Guanidinium,-0.0103,1.0,-0.4981,0.4775,False
Ammonium,Hydrazinium,0.0327,1.0,-0.3539,0.4193,False
Ammonium,Hydroxylammonium,-0.2082,0.9331,-0.6171,0.2007,False
Ammonium,Imidazolium,-0.1049,1.0,-0.5108,0.3009,False
Ammonium,Isopropylammonium,0.2194,0.8667,-0.1732,0.6121,False
Ammonium,Methylammonium,0.0364,1.0,-0.3849,0.4577,False
Ammonium,Propylammonium,0.2751,0.4746,-0.1033,0.6536,False
Ammonium,Tetramethylammonium,0.2288,0.9692,-0.264,0.7217,False
Ammonium,Trimethylammonium,0.1322,0.9987,-0.2553,0.5198,False
Azetidinium,Butylammonium,0.1635,0.9726,-0.1932,0.5202,False
Azetidinium,Dimethylammonium,-0.0124,1.0,-0.2787,0.254,False
Azetidinium,Ethylammonium,0.0661,0.9999,-0.1709,0.3031,False
Azetidinium,Formamidinium,-0.1614,0.9858,-0.539,0.2162,False
Azetidinium,Guanidinium,-0.1085,0.9999,-0.4921,0.2751,False
Azetidinium,Hydrazinium,-0.0655,0.9999,-0.3076,0.1767,False
Azetidinium,Hydroxylammonium,-0.3064,0.014,-0.5827,-0.0301,True
Azetidinium,Imidazolium,-0.2031,0.4235,-0.4749,0.0687,False
Azetidinium,Isopropylammonium,0.1212,0.9577,-0.1305,0.373,False
Azetidinium,Methylammonium,-0.0618,1.0,-0.3562,0.2326,False
Azetidinium,Propylammonium,0.1769,0.3619,-0.052,0.4059,False
Azetidinium,Tetramethylammonium,0.1307,0.9989,-0.2593,0.5206,False
Azetidinium,Trimethylammonium,0.034,1.0,-0.2097,0.2778,False
Butylammonium,Dimethylammonium,-0.1759,0.9753,-0.5641,0.2122,False
Butylammonium,Ethylammonium,-0.0974,0.9999,-0.4661,0.2712,False
Butylammonium,Formamidinium,-0.3249,0.5733,-0.7964,0.1466,False
Butylammonium,Guanidinium,-0.272,0.8459,-0.7483,0.2043,False
Butylammonium,Hydrazinium,-0.229,0.7555,-0.601,0.1429,False
Butylammonium,Hydroxylammonium,-0.4699,0.0048,-0.865,-0.0748,True
