group1,group2,meandiff,p-adj,lower,upper,reject
Acetamidinium_Bromide,Acetamidinium_Chloride,0.2097,0.2918,-0.0369,0.4564,False
Acetamidinium_Bromide,Acetamidinium_Iodide,-0.2203,0.1628,-0.4633,0.0227,False
Acetamidinium_Bromide,Ammonium_Bromide,1.0345,-0.0,0.7459,1.3231,True
Acetamidinium_Bromide,Ammonium_Chloride,1.2769,-0.0,0.9655,1.5882,True
Acetamidinium_Bromide,Ammonium_Iodide,0.7268,-0.0,0.4381,1.0154,True
Acetamidinium_Bromide,Azetidinium_Bromide,-0.3102,0.0,-0.5123,-0.1081,True
Acetamidinium_Bromide,Azetidinium_Chloride,-0.1078,0.9956,-0.3106,0.095,False
Acetamidinium_Bromide,Azetidinium_Iodide,-0.3929,0.0,-0.5944,-0.1914,True
Acetamidinium_Bromide,Butylammonium_Bromide,-0.0631,1.0,-0.3517,0.2256,False
Acetamidinium_Bromide,Butylammonium_Chloride,0.0459,1.0,-0.2427,0.3346,False
Acetamidinium_Bromide,Butylammonium_Iodide,-0.1142,1.0,-0.3941,0.1657,False
Acetamidinium_Bromide,Dimethylammonium_Bromide,-0.1219,0.9955,-0.3509,0.1071,False
Acetamidinium_Bromide,Dimethylammonium_Chloride,0.0224,1.0,-0.209,0.2537,False
Acetamidinium_Bromide,Dimethylammonium_Iodide,-0.2345,0.0355,-0.4636,-0.0055,True
Acetamidinium_Bromide,Ethylammonium_Bromide,0.2108,0.0567,-0.0019,0.4236,False
Acetamidinium_Bromide,Ethylammonium_Chloride,0.3766,0.0,0.1613,0.5918,True
Acetamidinium_Bromide,Ethylammonium_Iodide,0.0615,1.0,-0.149,0.272,False
Acetamidinium_Bromide,Formamidinium_Bromide,0.0423,1.0,-0.2567,0.3412,False
Acetamidinium_Bromide,Formamidinium_Chloride,0.3798,0.0005,0.0808,0.6787,True
Acetamidinium_Bromide,Formamidinium_Iodide,-0.2708,0.1642,-0.5698,0.0281,False
Acetamidinium_Bromide,Guanidinium_Bromide,0.1267,1.0,-0.1722,0.4257,False
Acetamidinium_Bromide,Guanidinium_Chloride,0.3671,0.0028,0.0558,0.6785,True
Acetamidinium_Bromide,Guanidinium_Iodide,-0.2059,0.8106,-0.5048,0.0931,False
Acetamidinium_Bromide,Hydrazinium_Bromide,0.6239,-0.0,0.4087,0.8392,True
Acetamidinium_Bromide,Hydrazinium_Chloride,0.8827,-0.0,0.666,1.0993,True
Acetamidinium_Bromide,Hydrazinium_Iodide,0.2143,0.0532,-0.001,0.4295,False
Acetamidinium_Bromide,Hydroxylammonium_Bromide,0.5966,-0.0,0.3627,0.8305,True
Acetamidinium_Bromide,Hydroxylammonium_Chloride,0.9579,-0.0,0.7182,1.1976,True
Acetamidinium_Bromide,Hydroxylammonium_Iodide,0.1139,0.9993,-0.12,0.3478,False
Acetamidinium_Bromide,Imidazolium_Bromide,-0.3788,0.0,-0.6155,-0.1421,True
Acetamidinium_Bromide,Imidazolium_Chloride,-0.0335,1.0,-0.2674,0.2004,False
Acetamidinium_Bromide,Imidazolium_Iodide,-0.5381,-0.0,-0.7671,-0.3091,True
Acetamidinium_Bromide,Isopropylammonium_Bromide,0.1254,0.9839,-0.0941,0.345,False
Acetamidinium_Bromide,Isopropylammonium_Chloride,0.3008,0.0001,0.0759,0.5256,True
Acetamidinium_Bromide,Isopropylammonium_Iodide,-0.0114,1.0,-0.231,0.2082,False
Acetamidinium_Bromide,Methylammonium_Bromide,0.3702,0.0,0.1235,0.6168,True
Acetamidinium_Bromide,Methylammonium_Chloride,0.5512,-0.0,0.3005,0.8019,True
Acetamidinium_Bromide,Methylammonium_Iodide,0.1804,0.6449,-0.0626,0.4234,False
Acetamidinium_Bromide,Propylammonium_Bromide,0.0437,1.0,-0.1648,0.2522,False
Acetamidinium_Bromide,Propylammonium_Chloride,0.1938,0.1248,-0.0147,0.4024,False
Acetamidinium_Bromide,Propylammonium_Iodide,-0.0224,1.0,-0.23,0.1852,False
Acetamidinium_Bromide,Tetramethylammonium_Bromide,-0.479,0.0,-0.778,-0.1801,True
Acetamidinium_Bromide,Tetramethylammonium_Chloride,-0.3584,0.002,-0.6573,-0.0594,True
Acetamidinium_Bromide,Tetramethylammonium_Iodide,-0.4934,0.0,-0.8201,-0.1668,True
Acetamidinium_Bromide,Trimethylammonium_Bromide,-0.3463,0.0,-0.5643,-0.1282,True
Acetamidinium_Bromide,Trimethylammonium_Chloride,-0.2035,0.1197,-0.4215,0.0146,False
Acetamidinium_Bromide,Trimethylammonium_Iodide,-0.4169,0.0,-0.6309,-0.2029,True
Acetamidinium_Chloride,Acetamidinium_Iodide,-0.4301,0.0,-0.6799,-0.1802,True
Acetamidinium_Chloride,Ammonium_Bromide,0.8248,-0.0,0.5304,1.1192,True
Acetamidinium_Chloride,Ammonium_Chloride,1.0672,-0.0,0.7504,1.3839,True
Acetamidinium_Chloride,Ammonium_Iodide,0.517,0.0,0.2226,0.8115,True
Acetamidinium_Chloride,Azetidinium_Bromide,-0.5199,-0.0,-0.7302,-0.3096,True
Acetamidinium_Chloride,Azetidinium_Chloride,-0.3175,0.0,-0.5285,-0.1066,True
Acetamidinium_Chloride,Azetidinium_Iodide,-0.6026,-0.0,-0.8123,-0.3929,True
Acetamidinium_Chloride,Butylammonium_Bromide,-0.2728,0.1296,-0.5672,0.0217,False
Acetamidinium_Chloride,Butylammonium_Chloride,-0.1638,0.9899,-0.4582,0.1306,False
Acetamidinium_Chloride,Butylammonium_Iodide,-0.3239,0.0063,-0.6098,-0.038,True
Acetamidinium_Chloride,Dimethylammonium_Bromide,-0.3316,0.0,-0.5679,-0.0953,True
Acetamidinium_Chloride,Dimethylammonium_Chloride,-0.1874,0.4959,-0.4259,0.0512,False
Acetamidinium_Chloride,Dimethylammonium_Iodide,-0.4442,0.0,-0.6805,-0.2079,True
Acetamidinium_Chloride,Ethylammonium_Bromide,0.0011,1.0,-0.2195,0.2217,False
Acetamidinium_Chloride,Ethylammonium_Chloride,0.1669,0.6241,-0.0561,0.3898,False
Acetamidinium_Chloride,Ethylammonium_Iodide,-0.1482,0.8365,-0.3666,0.0702,False
Acetamidinium_Chloride,Formamidinium_Bromide,-0.1674,0.9918,-0.472,0.1371,False
Acetamidinium_Chloride,Formamidinium_Chloride,0.1701,0.9892,-0.1345,0.4746,False
Acetamidinium_Chloride,Formamidinium_Iodide,-0.4806,0.0,-0.7851,-0.176,True
Acetamidinium_Chloride,Guanidinium_Bromide,-0.083,1.0,-0.3876,0.2215,False
Acetamidinium_Chloride,Guanidinium_Chloride,0.1574,0.9989,-0.1593,0.4742,False
Acetamidinium_Chloride,Guanidinium_Iodide,-0.4156,0.0001,-0.7202,-0.1111,True
Acetamidinium_Chloride,Hydrazinium_Bromide,0.4142,0.0,0.1913,0.6372,True
Acetamidinium_Chloride,Hydrazinium_Chloride,0.6729,-0.0,0.4487,0.8972,True
Acetamidinium_Chloride,Hydrazinium_Iodide,0.0046,1.0,-0.2184,0.2275,False
Acetamidinium_Chloride,Hydroxylammonium_Bromide,0.3869,0.0,0.1459,0.6279,True
