group1,group2,meandiff,p-adj,lower,upper,reject
Acetamidinium_Bromide,Acetamidinium_Chloride,0.5132,0.0,0.1457,0.8807,True
Acetamidinium_Bromide,Acetamidinium_Iodide,-0.6051,0.0,-0.9671,-0.243,True
Acetamidinium_Bromide,Ammonium_Bromide,0.1894,0.9999,-0.2406,0.6195,False
Acetamidinium_Bromide,Ammonium_Chloride,0.5273,0.0059,0.0633,0.9912,True
Acetamidinium_Bromide,Ammonium_Iodide,-0.5202,0.0016,-0.9502,-0.0901,True
Acetamidinium_Bromide,Azetidinium_Bromide,-0.1932,0.9132,-0.4944,0.108,False
Acetamidinium_Bromide,Azetidinium_Chloride,0.4371,0.0,0.1349,0.7393,True
Acetamidinium_Bromide,Azetidinium_Iodide,-0.6577,-0.0,-0.9579,-0.3575,True
Acetamidinium_Bromide,Butylammonium_Bromide,-0.3572,0.3482,-0.7873,0.0728,False
Acetamidinium_Bromide,Butylammonium_Chloride,-0.0015,1.0,-0.4315,0.4286,False
Acetamidinium_Bromide,Butylammonium_Iodide,-0.7407,0.0,-1.1577,-0.3236,True
Acetamidinium_Bromide,Dimethylammonium_Bromide,-0.0621,1.0,-0.4034,0.2791,False
Acetamidinium_Bromide,Dimethylammonium_Chloride,0.4529,0.0002,0.1082,0.7977,True
Acetamidinium_Bromide,Dimethylammonium_Iodide,-0.6042,0.0,-0.9455,-0.263,True
Acetamidinium_Bromide,Ethylammonium_Bromide,-0.2354,0.6441,-0.5524,0.0816,False
Acetamidinium_Bromide,Ethylammonium_Chloride,0.2563,0.4485,-0.0644,0.5771,False
Acetamidinium_Bromide,Ethylammonium_Iodide,-0.7023,-0.0,-1.016,-0.3886,True
Acetamidinium_Bromide,Formamidinium_Bromide,0.3458,0.5273,-0.0997,0.7912,False
Acetamidinium_Bromide,Formamidinium_Chloride,0.8934,0.0,0.4479,1.3388,True
Acetamidinium_Bromide,Formamidinium_Iodide,-0.3799,0.2847,-0.8254,0.0655,False
Acetamidinium_Bromide,Guanidinium_Bromide,-0.1998,0.9999,-0.6452,0.2457,False
Acetamidinium_Bromide,Guanidinium_Chloride,0.3518,0.5897,-0.1121,0.8158,False
Acetamidinium_Bromide,Guanidinium_Iodide,-0.8259,0.0,-1.2714,-0.3805,True
Acetamidinium_Bromide,Hydrazinium_Bromide,-0.2645,0.3664,-0.5852,0.0562,False
Acetamidinium_Bromide,Hydrazinium_Chloride,0.2506,0.5268,-0.0722,0.5733,False
Acetamidinium_Bromide,Hydrazinium_Iodide,-0.8033,-0.0,-1.124,-0.4826,True
Acetamidinium_Bromide,Hydroxylammonium_Bromide,0.2086,0.9665,-0.14,0.5571,False
Acetamidinium_Bromide,Hydroxylammonium_Chloride,0.9178,-0.0,0.5606,1.2749,True
Acetamidinium_Bromide,Hydroxylammonium_Iodide,-0.5284,0.0,-0.8769,-0.1798,True
Acetamidinium_Bromide,Imidazolium_Bromide,0.0867,1.0,-0.2659,0.4394,False
Acetamidinium_Bromide,Imidazolium_Chloride,0.7879,-0.0,0.4394,1.1365,True
Acetamidinium_Bromide,Imidazolium_Iodide,-0.4479,0.0002,-0.7891,-0.1066,True
Acetamidinium_Bromide,Isopropylammonium_Bromide,-0.2882,0.216,-0.6153,0.039,False
Acetamidinium_Bromide,Isopropylammonium_Chloride,0.1747,0.997,-0.1604,0.5097,False
Acetamidinium_Bromide,Isopropylammonium_Iodide,-0.7323,-0.0,-1.0595,-0.4051,True
Acetamidinium_Bromide,Methylammonium_Bromide,-0.1159,1.0,-0.4835,0.2516,False
Acetamidinium_Bromide,Methylammonium_Chloride,0.3874,0.0292,0.0139,0.7609,True
Acetamidinium_Bromide,Methylammonium_Iodide,-0.6102,0.0,-0.9723,-0.2481,True
Acetamidinium_Bromide,Propylammonium_Bromide,-0.2621,0.31,-0.5728,0.0486,False
Acetamidinium_Bromide,Propylammonium_Chloride,0.1041,1.0,-0.2066,0.4148,False
Acetamidinium_Bromide,Propylammonium_Iodide,-0.7188,-0.0,-1.0282,-0.4095,True
Acetamidinium_Bromide,Tetramethylammonium_Bromide,0.1148,1.0,-0.3307,0.5602,False
Acetamidinium_Bromide,Tetramethylammonium_Chloride,0.7917,0.0,0.3462,1.2371,True
Acetamidinium_Bromide,Tetramethylammonium_Iodide,-0.5278,0.0141,-1.0145,-0.0411,True
Acetamidinium_Bromide,Trimethylammonium_Bromide,0.0407,1.0,-0.2842,0.3656,False
Acetamidinium_Bromide,Trimethylammonium_Chloride,0.6662,0.0,0.3413,0.9911,True
Acetamidinium_Bromide,Trimethylammonium_Iodide,-0.5699,0.0,-0.8887,-0.2511,True
Acetamidinium_Chloride,Acetamidinium_Iodide,-1.1182,-0.0,-1.4905,-0.7459,True
Acetamidinium_Chloride,Ammonium_Bromide,-0.3237,0.6597,-0.7624,0.115,False
Acetamidinium_Chloride,Ammonium_Chloride,0.0141,1.0,-0.4578,0.4861,False
Acetamidinium_Chloride,Ammonium_Iodide,-1.0334,-0.0,-1.4721,-0.5947,True
Acetamidinium_Chloride,Azetidinium_Bromide,-0.7064,-0.0,-1.0198,-0.393,True
Acetamidinium_Chloride,Azetidinium_Chloride,-0.0761,1.0,-0.3905,0.2383,False
Acetamidinium_Chloride,Azetidinium_Iodide,-1.1709,-0.0,-1.4833,-0.8584,True
