group1,group2,meandiff,p-adj,lower,upper,reject
Acetamidinium_Bromide,Acetamidinium_Chloride,0.593,0.0169,0.0402,1.1459,True
Acetamidinium_Bromide,Acetamidinium_Iodide,-0.5289,0.0742,-1.0735,0.0158,False
Acetamidinium_Bromide,Ammonium_Bromide,0.1011,1.0,-0.5458,0.7481,False
Acetamidinium_Bromide,Ammonium_Chloride,0.4149,0.9696,-0.283,1.1128,False
Acetamidinium_Bromide,Ammonium_Iodide,-0.2779,1.0,-0.9248,0.3691,False
Acetamidinium_Bromide,Azetidinium_Bromide,0.0176,1.0,-0.4355,0.4707,False
Acetamidinium_Bromide,Azetidinium_Chloride,0.5112,0.0072,0.0566,0.9658,True
Acetamidinium_Bromide,Azetidinium_Iodide,-0.4748,0.0236,-0.9264,-0.0232,True
Acetamidinium_Bromide,Butylammonium_Bromide,0.1373,1.0,-0.5096,0.7843,False
Acetamidinium_Bromide,Butylammonium_Chloride,0.7075,0.0121,0.0606,1.3545,True
Acetamidinium_Bromide,Butylammonium_Iodide,-0.4036,0.9104,-1.031,0.2238,False
Acetamidinium_Bromide,Dimethylammonium_Bromide,-0.0412,1.0,-0.5546,0.4722,False
Acetamidinium_Bromide,Dimethylammonium_Chloride,0.5507,0.02,0.0321,1.0694,True
Acetamidinium_Bromide,Dimethylammonium_Iodide,-0.5253,0.0359,-1.0387,-0.0119,True
Acetamidinium_Bromide,Ethylammonium_Bromide,0.055,1.0,-0.4219,0.5318,False
Acetamidinium_Bromide,Ethylammonium_Chloride,0.604,0.0007,0.1215,1.0865,True
Acetamidinium_Bromide,Ethylammonium_Iodide,-0.4531,0.0854,-0.925,0.0188,False
Acetamidinium_Bromide,Formamidinium_Bromide,-0.3845,0.9827,-1.0546,0.2856,False
Acetamidinium_Bromide,Formamidinium_Chloride,0.2048,1.0,-0.4653,0.8749,False
Acetamidinium_Bromide,Formamidinium_Iodide,-0.7189,0.0169,-1.389,-0.0488,True
Acetamidinium_Bromide,Guanidinium_Bromide,-0.3079,0.9998,-0.978,0.3622,False
Acetamidinium_Bromide,Guanidinium_Chloride,0.455,0.8947,-0.2429,1.1529,False
Acetamidinium_Bromide,Guanidinium_Iodide,-0.8114,0.0016,-1.4815,-0.1413,True
Acetamidinium_Bromide,Hydrazinium_Bromide,-0.0836,1.0,-0.5661,0.3989,False
Acetamidinium_Bromide,Hydrazinium_Chloride,0.5788,0.0022,0.0933,1.0643,True
Acetamidinium_Bromide,Hydrazinium_Iodide,-0.5904,0.0012,-1.0729,-0.108,True
Acetamidinium_Bromide,Hydroxylammonium_Bromide,0.0229,1.0,-0.5014,0.5472,False
Acetamidinium_Bromide,Hydroxylammonium_Chloride,0.6179,0.0047,0.0806,1.1552,True
Acetamidinium_Bromide,Hydroxylammonium_Iodide,-0.5445,0.0287,-1.0688,-0.0202,True
Acetamidinium_Bromide,Imidazolium_Bromide,0.036,1.0,-0.4945,0.5665,False
Acetamidinium_Bromide,Imidazolium_Chloride,0.6032,0.0047,0.0788,1.1275,True
Acetamidinium_Bromide,Imidazolium_Iodide,-0.5575,0.0137,-1.0709,-0.0441,True
Acetamidinium_Bromide,Isopropylammonium_Bromide,0.1992,1.0,-0.293,0.6914,False
Acetamidinium_Bromide,Isopropylammonium_Chloride,0.8196,0.0,0.3156,1.3236,True
Acetamidinium_Bromide,Isopropylammonium_Iodide,-0.3603,0.6795,-0.8525,0.1319,False
Acetamidinium_Bromide,Methylammonium_Bromide,-0.2281,1.0,-0.7809,0.3248,False
Acetamidinium_Bromide,Methylammonium_Chloride,0.3162,0.9876,-0.2457,0.878,False
Acetamidinium_Bromide,Methylammonium_Iodide,-0.6119,0.0074,-1.1565,-0.0672,True
Acetamidinium_Bromide,Propylammonium_Bromide,0.1388,1.0,-0.3285,0.6062,False
Acetamidinium_Bromide,Propylammonium_Chloride,0.7036,0.0,0.2363,1.171,True
Acetamidinium_Bromide,Propylammonium_Iodide,-0.4464,0.0861,-0.9117,0.0188,False
Acetamidinium_Bromide,Tetramethylammonium_Bromide,0.1055,1.0,-0.5646,0.7756,False
Acetamidinium_Bromide,Tetramethylammonium_Chloride,0.7982,0.0022,0.1282,1.4683,True
Acetamidinium_Bromide,Tetramethylammonium_Iodide,-0.4565,0.9399,-1.1887,0.2757,False
Acetamidinium_Bromide,Trimethylammonium_Bromide,0.0753,1.0,-0.4135,0.5641,False
Acetamidinium_Bromide,Trimethylammonium_Chloride,0.6822,0.0,0.1934,1.1709,True
Acetamidinium_Bromide,Trimethylammonium_Iodide,-0.5297,0.0101,-1.0094,-0.0501,True
Acetamidinium_Chloride,Acetamidinium_Iodide,-1.1219,0.0,-1.6819,-0.5618,True
Acetamidinium_Chloride,Ammonium_Bromide,-0.4919,0.6345,-1.1518,0.1681,False
Acetamidinium_Chloride,Ammonium_Chloride,-0.1781,1.0,-0.8881,0.5319,False
Acetamidinium_Chloride,Ammonium_Iodide,-0.8709,0.0002,-1.5308,-0.2109,True
Acetamidinium_Chloride,Azetidinium_Bromide,-0.5754,0.0013,-1.0468,-0.104,True
Acetamidinium_Chloride,Azetidinium_Chloride,-0.0818,1.0,-0.5547,0.3911,False
Acetamidinium_Chloride,Azetidinium_Iodide,-1.0678,-0.0,-1.5378,-0.5978,True
Acetamidinium_Chloride,Butylammonium_Bromide,-0.4557,0.8059,-1.1156,0.2043,False
Acetamidinium_Chloride,Butylammonium_Chloride,0.1145,1.0,-0.5454,0.7745,False
Acetamidinium_Chloride,Butylammonium_Iodide,-0.9966,0.0,-1.6374,-0.3558,True
Acetamidinium_Chloride,Dimethylammonium_Bromide,-0.6342,0.002,-1.1639,-0.1046,True
Acetamidinium_Chloride,Dimethylammonium_Chloride,-0.0423,1.0,-0.577,0.4925,False
Acetamidinium_Chloride,Dimethylammonium_Iodide,-1.1183,-0.0,-1.648,-0.5887,True
Acetamidinium_Chloride,Ethylammonium_Bromide,-0.5381,0.0132,-1.0324,-0.0437,True
Acetamidinium_Chloride,Ethylammonium_Chloride,0.011,1.0,-0.4888,0.5108,False
Acetamidinium_Chloride,Ethylammonium_Iodide,-1.0461,-0.0,-1.5357,-0.5566,True
Acetamidinium_Chloride,Formamidinium_Bromide,-0.9775,0.0,-1.6601,-0.2948,True
Acetamidinium_Chloride,Formamidinium_Chloride,-0.3882,0.9851,-1.0709,0.2944,False
Acetamidinium_Chloride,Formamidinium_Iodide,-1.3119,0.0,-1.9946,-0.6293,True
Acetamidinium_Chloride,Guanidinium_Bromide,-0.9009,0.0002,-1.5836,-0.2183,True
Acetamidinium_Chloride,Guanidinium_Chloride,-0.138,1.0,-0.848,0.572,False
Acetamidinium_Chloride,Guanidinium_Iodide,-1.4044,0.0,-2.0871,-0.7218,True
Acetamidinium_Chloride,Hydrazinium_Bromide,-0.6766,0.0001,-1.1764,-0.1769,True
Acetamidinium_Chloride,Hydrazinium_Chloride,-0.0142,1.0,-0.5169,0.4885,False
Acetamidinium_Chloride,Hydrazinium_Iodide,-1.1834,-0.0,-1.6832,-0.6837,True
Acetamidinium_Chloride,Hydroxylammonium_Bromide,-0.5701,0.0222,-1.1104,-0.0298,True
Acetamidinium_Chloride,Hydroxylammonium_Chloride,0.0249,1.0,-0.528,0.5777,False
Acetamidinium_Chloride,Hydroxylammonium_Iodide,-1.1375,-0.0,-1.6778,-0.5972,True
Acetamidinium_Chloride,Imidazolium_Bromide,-0.557,0.0378,-1.1033,-0.0108,True
Acetamidinium_Chloride,Imidazolium_Chloride,0.0101,1.0,-0.5301,0.5504,False
Acetamidinium_Chloride,Imidazolium_Iodide,-1.1505,-0.0,-1.6802,-0.6209,True
Acetamidinium_Chloride,Isopropylammonium_Bromide,-0.3938,0.537,-0.903,0.1154,False
Acetamidinium_Chloride,Isopropylammonium_Chloride,0.2266,1.0,-0.294,0.7472,False
Acetamidinium_Chloride,Isopropylammonium_Iodide,-0.9533,0.0,-1.4625,-0.4442,True
Acetamidinium_Chloride,Methylammonium_Bromide,-0.8211,0.0,-1.3891,-0.2531,True
Acetamidinium_Chloride,Methylammonium_Chloride,-0.2769,0.9995,-0.8537,0.2999,False
Acetamidinium_Chloride,Methylammonium_Iodide,-1.2049,-0.0,-1.7649,-0.6448,True
Acetamidinium_Chloride,Propylammonium_Bromide,-0.4542,0.1155,-0.9394,0.031,False
Acetamidinium_Chloride,Propylammonium_Chloride,0.1106,1.0,-0.3746,0.5958,False
Acetamidinium_Chloride,Propylammonium_Iodide,-1.0395,-0.0,-1.5226,-0.5563,True
Acetamidinium_Chloride,Tetramethylammonium_Bromide,-0.4875,0.7369,-1.1702,0.1951,False
Acetamidinium_Chloride,Tetramethylammonium_Chloride,0.2052,1.0,-0.4774,0.8879,False
Acetamidinium_Chloride,Tetramethylammonium_Iodide,-1.0495,0.0,-1.7932,-0.3058,True
Acetamidinium_Chloride,Trimethylammonium_Bromide,-0.5177,0.0358,-1.0235,-0.0119,True
Acetamidinium_Chloride,Trimethylammonium_Chloride,0.0892,1.0,-0.4167,0.595,False
Acetamidinium_Chloride,Trimethylammonium_Iodide,-1.1228,-0.0,-1.6198,-0.6258,True
Acetamidinium_Iodide,Ammonium_Bromide,0.63,0.0807,-0.0231,1.2831,False
Acetamidinium_Iodide,Ammonium_Chloride,0.9438,0.0001,0.2401,1.6474,True
Acetamidinium_Iodide,Ammonium_Iodide,0.251,1.0,-0.4021,0.9041,False
Acetamidinium_Iodide,Azetidinium_Bromide,0.5465,0.0026,0.0846,1.0083,True
