group1,group2,meandiff,p-adj,lower,upper,reject
Germanium_Bromide,Germanium_Chloride,0.2122,0.0004,0.0626,0.3619,True
Germanium_Bromide,Germanium_Iodide,-0.1211,0.1886,-0.2659,0.0238,False
Germanium_Bromide,Lead_Bromide,0.3367,0.0,0.1871,0.4864,True
Germanium_Bromide,Lead_Chloride,0.6254,-0.0,0.4776,0.7733,True
Germanium_Bromide,Lead_Iodide,0.1365,0.0845,-0.0087,0.2817,False
Germanium_Bromide,Tin_Bromide,0.1572,0.0195,0.0138,0.3006,True
Germanium_Bromide,Tin_Chloride,0.2165,0.0001,0.0719,0.361,True
Germanium_Bromide,Tin_Iodide,-0.0856,0.6504,-0.2295,0.0584,False
Germanium_Chloride,Germanium_Iodide,-0.3333,0.0,-0.4835,-0.1831,True
Germanium_Chloride,Lead_Bromide,0.1245,0.2335,-0.0304,0.2793,False
Germanium_Chloride,Lead_Chloride,0.4132,-0.0,0.2601,0.5663,True
Germanium_Chloride,Lead_Iodide,-0.0757,0.8242,-0.2263,0.0748,False
Germanium_Chloride,Tin_Bromide,-0.055,0.9664,-0.2038,0.0938,False
Germanium_Chloride,Tin_Chloride,0.0043,1.0,-0.1457,0.1542,False
Germanium_Chloride,Tin_Iodide,-0.2978,0.0,-0.4471,-0.1484,True
Germanium_Iodide,Lead_Bromide,0.4578,-0.0,0.3076,0.608,True
Germanium_Iodide,Lead_Chloride,0.7465,-0.0,0.5981,0.8949,True
Germanium_Iodide,Lead_Iodide,0.2576,0.0,0.1118,0.4033,True
Germanium_Iodide,Tin_Bromide,0.2783,0.0,0.1343,0.4223,True
Germanium_Iodide,Tin_Chloride,0.3376,0.0,0.1924,0.4827,True
Germanium_Iodide,Tin_Iodide,0.0355,0.9977,-0.109,0.1801,False
Lead_Bromide,Lead_Chloride,0.2887,0.0,0.1356,0.4418,True
Lead_Bromide,Lead_Iodide,-0.2002,0.0013,-0.3508,-0.0497,True
Lead_Bromide,Tin_Bromide,-0.1795,0.0058,-0.3283,-0.0307,True
Lead_Bromide,Tin_Chloride,-0.1202,0.2366,-0.2702,0.0297,False
Lead_Bromide,Tin_Iodide,-0.4223,-0.0,-0.5716,-0.2729,True
Lead_Chloride,Lead_Iodide,-0.4889,-0.0,-0.6376,-0.3402,True
Lead_Chloride,Tin_Bromide,-0.4682,-0.0,-0.6152,-0.3213,True
Lead_Chloride,Tin_Chloride,-0.409,-0.0,-0.5571,-0.2608,True
Lead_Chloride,Tin_Iodide,-0.711,-0.0,-0.8585,-0.5635,True
Lead_Iodide,Tin_Bromide,0.0207,1.0,-0.1236,0.165,False
Lead_Iodide,Tin_Chloride,0.08,0.7409,-0.0655,0.2255,False
Lead_Iodide,Tin_Iodide,-0.222,0.0001,-0.3669,-0.0772,True
Tin_Bromide,Tin_Chloride,0.0593,0.9365,-0.0844,0.203,False
Tin_Bromide,Tin_Iodide,-0.2428,0.0,-0.3858,-0.0997,True
Tin_Chloride,Tin_Iodide,-0.302,0.0,-0.4463,-0.1578,True
