group1,group2,meandiff,p-adj,lower,upper,reject
Germanium_Bromide,Germanium_Chloride,0.6062,-0.0,0.4381,0.7744,True
Germanium_Bromide,Germanium_Iodide,-0.5605,-0.0,-0.7233,-0.3978,True
Germanium_Bromide,Lead_Bromide,-0.088,0.7896,-0.2562,0.0801,False
Germanium_Bromide,Lead_Chloride,0.4797,-0.0,0.3136,0.6458,True
Germanium_Bromide,Lead_Iodide,-0.6082,-0.0,-0.7713,-0.4451,True
Germanium_Bromide,Tin_Bromide,-0.305,0.0,-0.4661,-0.144,True
Germanium_Bromide,Tin_Chloride,0.2669,0.0,0.1045,0.4293,True
Germanium_Bromide,Tin_Iodide,-0.7986,-0.0,-0.9603,-0.6368,True
Germanium_Chloride,Germanium_Iodide,-1.1667,-0.0,-1.3355,-0.998,True
Germanium_Chloride,Lead_Bromide,-0.6943,-0.0,-0.8682,-0.5203,True
Germanium_Chloride,Lead_Chloride,-0.1265,0.3508,-0.2985,0.0454,False
Germanium_Chloride,Lead_Iodide,-1.2145,-0.0,-1.3836,-1.0454,True
Germanium_Chloride,Tin_Bromide,-0.9113,-0.0,-1.0785,-0.7441,True
Germanium_Chloride,Tin_Chloride,-0.3394,0.0,-0.5078,-0.1709,True
Germanium_Chloride,Tin_Iodide,-1.4048,-0.0,-1.5726,-1.237,True
Germanium_Iodide,Lead_Bromide,0.4725,-0.0,0.3037,0.6413,True
Germanium_Iodide,Lead_Chloride,1.0402,-0.0,0.8735,1.2069,True
Germanium_Iodide,Lead_Iodide,-0.0477,0.9927,-0.2115,0.116,False
Germanium_Iodide,Tin_Bromide,0.2555,0.0,0.0937,0.4172,True
Germanium_Iodide,Tin_Chloride,0.8274,-0.0,0.6643,0.9905,True
Germanium_Iodide,Tin_Iodide,-0.2381,0.0002,-0.4005,-0.0757,True
Lead_Bromide,Lead_Chloride,0.5677,-0.0,0.3957,0.7397,True
Lead_Bromide,Lead_Iodide,-0.5202,-0.0,-0.6893,-0.3511,True
Lead_Bromide,Tin_Bromide,-0.217,0.0019,-0.3842,-0.0498,True
Lead_Bromide,Tin_Chloride,0.3549,0.0,0.1865,0.5233,True
Lead_Bromide,Tin_Iodide,-0.7105,-0.0,-0.8783,-0.5427,True
Lead_Chloride,Lead_Iodide,-1.0879,-0.0,-1.255,-0.9209,True
Lead_Chloride,Tin_Bromide,-0.7847,-0.0,-0.9498,-0.6196,True
Lead_Chloride,Tin_Chloride,-0.2128,0.0024,-0.3792,-0.0464,True
Lead_Chloride,Tin_Iodide,-1.2783,-0.0,-1.444,-1.1125,True
Lead_Iodide,Tin_Bromide,0.3032,0.0,0.1411,0.4653,True
Lead_Iodide,Tin_Chloride,0.8751,-0.0,0.7117,1.0385,True
Lead_Iodide,Tin_Iodide,-0.1903,0.0089,-0.3531,-0.0276,True
Tin_Bromide,Tin_Chloride,0.5719,-0.0,0.4105,0.7333,True
Tin_Bromide,Tin_Iodide,-0.4935,-0.0,-0.6543,-0.3328,True
Tin_Chloride,Tin_Iodide,-1.0654,-0.0,-1.2275,-0.9034,True
