group1,group2,meandiff,p-adj,lower,upper,reject
Acetamidinium_Germanium,Acetamidinium_Lead,-0.1491,1.0,-0.8549,0.5566,False
Acetamidinium_Germanium,Acetamidinium_Tin,-0.0478,1.0,-0.7445,0.6489,False
Acetamidinium_Germanium,Ammonium_Germanium,-0.0168,1.0,-0.8771,0.8434,False
Acetamidinium_Germanium,Ammonium_Lead,-0.209,1.0,-1.1037,0.6857,False
Acetamidinium_Germanium,Ammonium_Tin,0.0044,1.0,-0.8031,0.8119,False
Acetamidinium_Germanium,Azetidinium_Germanium,0.1157,1.0,-0.4784,0.7098,False
Acetamidinium_Germanium,Azetidinium_Lead,-0.0398,1.0,-0.6418,0.5622,False
Acetamidinium_Germanium,Azetidinium_Tin,0.0229,1.0,-0.5645,0.6103,False
Acetamidinium_Germanium,Butylammonium_Germanium,0.2568,1.0,-0.5748,1.0885,False
Acetamidinium_Germanium,Butylammonium_Lead,0.1542,1.0,-0.6326,0.941,False
Acetamidinium_Germanium,Butylammonium_Tin,0.1922,1.0,-0.6681,1.0524,False
Acetamidinium_Germanium,Dimethylammonium_Germanium,0.0968,1.0,-0.5648,0.7583,False
Acetamidinium_Germanium,Dimethylammonium_Lead,-0.0698,1.0,-0.7506,0.6111,False
Acetamidinium_Germanium,Dimethylammonium_Tin,0.029,1.0,-0.6384,0.6965,False
Acetamidinium_Germanium,Ethylammonium_Germanium,0.1211,1.0,-0.502,0.7441,False
Acetamidinium_Germanium,Ethylammonium_Lead,0.0773,1.0,-0.5525,0.7071,False
Acetamidinium_Germanium,Ethylammonium_Tin,0.1028,1.0,-0.5141,0.7197,False
Acetamidinium_Germanium,Formamidinium_Germanium,-0.0047,1.0,-0.865,0.8555,False
Acetamidinium_Germanium,Formamidinium_Lead,-0.314,1.0,-1.1742,0.5463,False
Acetamidinium_Germanium,Formamidinium_Tin,-0.061,1.0,-0.9213,0.7993,False
Acetamidinium_Germanium,Guanidinium_Germanium,0.0386,1.0,-0.8217,0.8989,False
Acetamidinium_Germanium,Guanidinium_Lead,-0.1536,1.0,-1.0138,0.7067,False
Acetamidinium_Germanium,Guanidinium_Tin,-0.11,1.0,-1.0048,0.7847,False
Acetamidinium_Germanium,Hydrazinium_Germanium,0.0085,1.0,-0.6178,0.6349,False
Acetamidinium_Germanium,Hydrazinium_Lead,-0.1351,1.0,-0.786,0.5158,False
Acetamidinium_Germanium,Hydrazinium_Tin,0.0122,1.0,-0.6077,0.6321,False
Acetamidinium_Germanium,Hydroxylammonium_Germanium,-0.123,1.0,-0.8039,0.5578,False
Acetamidinium_Germanium,Hydroxylammonium_Lead,-0.5038,0.68,-1.1923,0.1846,False
Acetamidinium_Germanium,Hydroxylammonium_Tin,-0.1953,1.0,-0.8837,0.4931,False
Acetamidinium_Germanium,Imidazolium_Germanium,-0.1121,1.0,-0.786,0.5618,False
Acetamidinium_Germanium,Imidazolium_Lead,-0.2473,1.0,-0.953,0.4585,False
Acetamidinium_Germanium,Imidazolium_Tin,-0.1606,1.0,-0.8221,0.5009,False
Acetamidinium_Germanium,Isopropylammonium_Germanium,0.1671,1.0,-0.4838,0.818,False
