group1,group2,meandiff,p-adj,lower,upper,reject
Acetamidinium_Bromide,Acetamidinium_Chloride,0.5208,-0.0,0.3681,0.6735,True
Acetamidinium_Bromide,Acetamidinium_Iodide,-0.6726,-0.0,-0.8231,-0.5221,True
Acetamidinium_Bromide,Ammonium_Bromide,0.0117,1.0,-0.167,0.1905,False
Acetamidinium_Bromide,Ammonium_Chloride,0.4785,-0.0,0.2857,0.6713,True
Acetamidinium_Bromide,Ammonium_Iodide,-0.5544,-0.0,-0.7331,-0.3757,True
Acetamidinium_Bromide,Azetidinium_Bromide,0.1046,0.334,-0.0206,0.2297,False
Acetamidinium_Bromide,Azetidinium_Chloride,0.6515,-0.0,0.526,0.7771,True
Acetamidinium_Bromide,Azetidinium_Iodide,-0.6049,-0.0,-0.7296,-0.4801,True
Acetamidinium_Bromide,Butylammonium_Bromide,0.2453,0.0001,0.0666,0.424,True
Acetamidinium_Bromide,Butylammonium_Chloride,0.8899,-0.0,0.7111,1.0686,True
Acetamidinium_Bromide,Butylammonium_Iodide,-0.4553,-0.0,-0.6286,-0.282,True
Acetamidinium_Bromide,Dimethylammonium_Bromide,0.0917,0.9042,-0.0501,0.2336,False
Acetamidinium_Bromide,Dimethylammonium_Chloride,0.6191,-0.0,0.4759,0.7624,True
Acetamidinium_Bromide,Dimethylammonium_Iodide,-0.5991,-0.0,-0.7409,-0.4573,True
Acetamidinium_Bromide,Ethylammonium_Bromide,0.1816,0.0001,0.0499,0.3134,True
Acetamidinium_Bromide,Ethylammonium_Chloride,0.7646,-0.0,0.6313,0.8979,True
Acetamidinium_Bromide,Ethylammonium_Iodide,-0.5453,-0.0,-0.6756,-0.4149,True
Acetamidinium_Bromide,Formamidinium_Bromide,-0.0787,1.0,-0.2638,0.1064,False
Acetamidinium_Bromide,Formamidinium_Chloride,0.4887,-0.0,0.3036,0.6738,True
Acetamidinium_Bromide,Formamidinium_Iodide,-0.7708,-0.0,-0.9559,-0.5857,True
Acetamidinium_Bromide,Guanidinium_Bromide,0.0191,1.0,-0.166,0.2042,False
Acetamidinium_Bromide,Guanidinium_Chloride,0.5255,-0.0,0.3327,0.7183,True
Acetamidinium_Bromide,Guanidinium_Iodide,-0.6808,-0.0,-0.8659,-0.4957,True
Acetamidinium_Bromide,Hydrazinium_Bromide,0.0376,1.0,-0.0957,0.1709,False
Acetamidinium_Bromide,Hydrazinium_Chloride,0.5264,-0.0,0.3923,0.6606,True
Acetamidinium_Bromide,Hydrazinium_Iodide,-0.6195,-0.0,-0.7528,-0.4862,True
Acetamidinium_Bromide,Hydroxylammonium_Bromide,-0.1854,0.0004,-0.3302,-0.0405,True
Acetamidinium_Bromide,Hydroxylammonium_Chloride,0.2208,0.0,0.0724,0.3693,True
Acetamidinium_Bromide,Hydroxylammonium_Iodide,-0.785,-0.0,-0.9299,-0.6402,True
Acetamidinium_Bromide,Imidazolium_Bromide,-0.0684,0.9997,-0.215,0.0781,False
Acetamidinium_Bromide,Imidazolium_Chloride,0.4272,-0.0,0.2824,0.5721,True
Acetamidinium_Bromide,Imidazolium_Iodide,-0.7814,-0.0,-0.9233,-0.6396,True
Acetamidinium_Bromide,Isopropylammonium_Bromide,0.2279,0.0,0.092,0.3639,True
Acetamidinium_Bromide,Isopropylammonium_Chloride,0.804,-0.0,0.6648,0.9433,True
Acetamidinium_Bromide,Isopropylammonium_Iodide,-0.4762,-0.0,-0.6122,-0.3402,True
Acetamidinium_Bromide,Methylammonium_Bromide,0.056,1.0,-0.0968,0.2087,False
Acetamidinium_Bromide,Methylammonium_Chloride,0.5725,-0.0,0.4173,0.7278,True
Acetamidinium_Bromide,Methylammonium_Iodide,-0.6205,-0.0,-0.7709,-0.47,True
Acetamidinium_Bromide,Propylammonium_Bromide,0.2744,-0.0,0.1453,0.4035,True
Acetamidinium_Bromide,Propylammonium_Chloride,0.8564,-0.0,0.7273,0.9855,True
Acetamidinium_Bromide,Propylammonium_Iodide,-0.4584,-0.0,-0.5869,-0.3299,True
Acetamidinium_Bromide,Tetramethylammonium_Bromide,0.1782,0.0826,-0.0069,0.3633,False
Acetamidinium_Bromide,Tetramethylammonium_Chloride,0.7256,-0.0,0.5404,0.9107,True
Acetamidinium_Bromide,Tetramethylammonium_Iodide,-0.5486,-0.0,-0.7509,-0.3463,True
Acetamidinium_Bromide,Trimethylammonium_Bromide,0.1559,0.0043,0.0209,0.2909,True
Acetamidinium_Bromide,Trimethylammonium_Chloride,0.7091,-0.0,0.574,0.8441,True
Acetamidinium_Bromide,Trimethylammonium_Iodide,-0.5725,-0.0,-0.705,-0.44,True
Acetamidinium_Chloride,Acetamidinium_Iodide,-1.1934,-0.0,-1.3481,-1.0387,True
Acetamidinium_Chloride,Ammonium_Bromide,-0.509,-0.0,-0.6914,-0.3267,True
Acetamidinium_Chloride,Ammonium_Chloride,-0.0423,1.0,-0.2384,0.1538,False
